set1,frequency
/,1
=diversity,1
aadolan,1
aae,1
aage,2
aaj,1
aam,1
aamir,1
aandoilan,1
aandolan,31
aap,1
aapka,1
aapke,1
aare,1
aatmhatya,1
aaye,2
ab,7
abhi,1
ability,1
adanai,1
adolan,1
aekta,4
agar,3
aggression,1
agitation,1
agr,1
ah,1
aikta,4
aisa,1
aise,1
aj,2
akata,3
akesarko,1
aketa,1
akta,60
aktha,1
aktta,1
alag,1
amar,1
andata,1
andatta,1
anday,1
andholan,2
andol,1
andola,1
andolaan,2
andolan,147
andoland,1
andolaon,2
andoln,1
andolna,1
andolon,3
annaj,1
anolan,1
anthem,1
antholan,1
anyay,1
apn,1
apna,7
apnae,1
apne,9
apni,9
app,1
arabpati,1
aram,1
ase,1
asli,1
association,1
atma,1
atmhatya,1
aur,18
awesome,1
ayashi,1
bachao,2
bache,2
bachjayega,1
badhay,1
badnam,2
bahana,1
bahot,1
bai,1
baithe,1
bana,1
banao,1
bane,1
banke,1
banne,1
barbaad,1
basterds,1
bat,1
bata,2
batate,1
batchit,1
bc,1
bde,2
beating,1
becega,1
bechare,2
bechna,1
behaves,1
beta,2
bewkoff,1
bhag,1
bhagao,2
bhageya,1
bhagwan,1
bhai,40
bhaichara,1
bhaieyo,1
bhaiyo,25
bhaiyon,9
bhar,1
bharat,3
bharath,1
bharosa,1
bharte,1
bhayi,2
bhi,26
bhola,1
bhosdi,1
bhrmit,1
bhukha,1
bicholiye,2
bigaad,1
bigad,1
bil,3
bill,25
bille,1
bills,2
birodhi,1
birody,2
bjp,12
blocked,1
bn,1
bna,1
bocoait,1
bohla,1
bol,3
bolta,1
border,1
boycott,2
bro,1
brother,4
brothers,5
bt,2
bta,1
ca,1
came,1
campaign,1
catch,1
chadi,1
chahte,1
chale,1
challenge,1
chalo,2
channel,1
chanting,1
cheek,1
chokidar,1
chor,1
chunaw,1
chutiya,1
chutiyapa,1
chutiye,1
cnal,1
com,1
commission,1
common,1
company,1
corana,1
corrupted,1
country,1
court,2
courtesy,1
credit,4
crowd,1
da,2
daily,1
dakha,1
dal,1
dalalo,1
dalit,8
dar,1
darege,1
de,2
dekh,1
dekhe,1
desh,18
deshdrohi,1
devta,3
devtasanyukat,1
dharne,1
dhrne,1
di,1
died,1
dikhte,1
dil,1
direct,1
distributed,1
dogla,1
dollar,1
dono,1
dont,1
drohi,1
dttey,1
dukh,1
dukhi,1
dusre,1
eaikta,2
eakta,1
edit,1
eik,1
eikta,1
ek,4
ekadam,1
ekata,8
ekatha,1
ekattha,1
ekht,1
ekkta,1
ekt,1
ekta,844
ektaa,1
ektajindabad,2
ektha,8
election,1
emd,1
end,1
enjoy,1
esay,1
etka,1
every,1
fake,1
family,2
farm,1
farmars,1
farmer,2
farmers,2
fasal,1
fight,2
filhal,1
fir,1
first,1
form,1
free,3
fsl,1
gadhi,1
galat,2
garib,2
ge,1
general,1
get,1
getaga,1
ghar,2
gindabad,1
giri,1
go,2
god,3
godi,8
good,1
government,1
grib,2
gujrat,2
gunde,1
gusse,1
h,23
ha,3
haaai,1
hadtal,1
hai,59
hail,1
hain,6
hajaro,1
hal,2
hall,1
halla,1
ham,2
hamara,2
hamare,1
han,1
happy,1
haq,1
har,1
harege,1
haregi,1
hay,1
hecter,1
hi,21
hii,1
hindu,3
hindustan,2
hm,1
hmare,1
hnu,1
ho,10
hona,1
hota,1
hote,4
hoti,1
hp,1
hu,5
hum,3
humans,1
humare,1
hume,1
hun,4
hur,1
hy,1
iam,1
iekta,2
ikta,4
india,4
indian,1
injured,1
inka,1
innocent,1
insaf,1
instead,1
ish,3
iska,1
iske,1
isse,2
itne,5
ja,2
jab,1
jada,1
jag,1
jagruk,1
jai,228
jaikisan,1
jaimodisrkar,1
jain,1
jake,1
jandabad,2
jandabadtirga,1
janjagrati,1
jao,1
jatto,1
javan,1
jawan,5
jawano,1
jay,38
jayenge,1
jayga,1
jaysamwidhansapnath,1
jbb,1
jeetega,2
jese,1
jhutho,1
ji,1
jidabad,2
jind,1
jinda,10
jindabaad,6
jindabad,69
jindabade,1
jindavad,1
jindawad,1
jisy,1
jitaiga,1
jitega,11
jitege,2
jo,8
joi,1
joy,1
k,23
ka,78
kaaya,1
kab,3
kabhi,2
kadi,1
kafan,1
kah,1
kaha,2
kahan,2
kahi,1
kahna,1
kahta,1
kahte,1
kahti,1
kalank,1
kaley,1
kam,4
kanoon,2
kanun,3
kar,2
karantee,1
kare,1
karen,1
karj,1
karta,1
kaun,1
kaysa,1
kbhi,1
ke,98
keep,1
keeps,1
kehkar,1
kerla,1
kese,1
kha,2
khalistan,1
khalistani,3
kharikrega,1
khatar,1
khet,9
kheto,1
kheton,1
khud,2
khus,5
khush,2
khushal,1
ki,71
kind,1
kindly,1
kisaan,1
kisaano,1
kisan,44
kisano,1
kisanon,1
kissan,1
kitna,1
kiyon,1
km,1
knows,1
ko,100
koh,1
koi,3
kom,2
kon,2
kr,1
kranti,2
krega,1
kregi,2
krn,1
kursi,1
kutte,1
kya,7
kyon,1
kyu,1
laga,1
lage,1
lagta,1
lagte,1
lakh,1
lakhs,1
lathi,1
law,3
lead,1
leadar,1
leader,10
leaders,5
legelnd,1
lekin,2
like,1
likhoo,1
log,10
logo,1
lok,1
long,2
loose,1
love,2
lut,1
maa,1
maddrchod,1
madhachod,1
maha,1
mahapanchayat,6
mahassbhaa,1
mahila,1
maja,1
majadoor,1
majadur,1
majbur,2
majdoor,121
majdor,5
majdur,53
majduur,1
majuiri,1
make,2
makes,1
malikg,1
manay,1
manch,1
mandi,1
mandir,1
mandiyo,1
mane,1
maney,1
mar,5
march,2
mard,1
mare,2
mareya,1
maro,1
marta,2
marye,1
mat,1
matlab,1
may,1
mazboot,1
mazdoor,140
mazdor,2
mazdur,11
mazjoor,1
mc,1
mehta,1
mela,1
mental,1
mere,1
milti,1
mjadur,1
mjdoor,8
mjdor,5
mjdur,3
mocha,1
modi,14
modiji,2
morch,1
morcha,52
morche,2
movement,5
mrne,1
mrr,2
msp,1
multai,1
murdabad,8
murkh,1
murkkh,1
muskil,1
muslim,2
must,2
muzdur,1
mzdoor,1
mzdur,1
n,2
na,3
nahee,1
nahi,73
nahin,10
nahyha,1
nai,2
nal,2
namaste,1
name,1
natao,1
national,1
naye,1
ne,12
neeta,1
negotiate,1
nehi,2
neta,42
netahe,1
netao,4
netaon,2
news,1
nh,2
nhe,3
nhi,67
ni,4
nidhi,1
nii,2
note,1
nt,1
oha,1
p,1
pa,1
pahali,1
pahle,1
paid,1
paisa,1
panchayat,6
pandemic,1
papu,1
pardakshan,1
paresan,1
parivar,1
part,1
patharbaazi,1
patna,1
pde,1
pe,2
peace,1
peche,1
pehle,3
people,2
plizz,1
police,2
pooore,1
power,6
pr,3
prabhu,1
pravakta,1
pred,1
presan,1
preshan,1
press,1
problem,2
program,1
prooved,1
protest,6
protesting,1
protests,1
pulses,1
punam,1
pura,1
pure,1
purely,1
purey,1
putra,1
rah,1
raha,1
rahe,2
railly,1
raily,1
raj,1
rajniti,3
rakesh,5
rally,2
rasta,1
rate,1
re,1
regards,1
representative,1
rich,1
right,1
ro,2
road,4
rocket,1
roopi,1
rote,1
rozgar,1
rs,1
sa,1
saal,1
saale,1
saara,1
sab,2
sabh,1
sabha,3
sabke,1
sach,1
sadko,1
safe,1
sahid,5
sahido,1
sala,1
salamat,1
sale,1
salute,2
samajh,1
saman,1
samjhte,1
samman,1
samsya,1
samyukt,1
sandip,1
sangh,1
sanghatan,1
sanghtan,1
sangthan,2
saram,1
saree,1
sarkar,3
sath,1
sathio,1
save,2
sawdhan,1
sdko,1
se,15
sekta,1
sending,1
separate,1
seriously,1
shafa,1
shaheed,3
shaid,1
shamil,2
shanti,1
shantipuravak,1
sharam,1
show,1
side,1
sirf,2
situation,1
slogan,2
snghrsh,1
song,1
stop,1
store,1
suicide,2
suport,1
support,6
supportfarmers,1
swarg,1
syd,1
sympathy,1
ta,3
taag,1
tab,2
take,1
tan,1
tanasahi,1
tanashahi,1
tau,1
tax,1
te,1
tehreek,1
teri,1
terrorists,1
tha,1
thank,1
theek,1
think,1
thodi,1
thugs,1
tiger,1
tikait,3
tikat,1
today,1
toh,9
ton,1
toon,1
torege,1
traitors,1
treckter,1
tried,1
tum,4
tumhare,2
tumhari,1
ty,1
u,1
unian,2
union,52
unionboth,1
unions,1
unity,1
unke,1
unsafe,1
upset,1
urdabad,1
uska,1
v,2
vah,1
vahi,1
vala,1
vali,1
vampathi,2
vande,2
veera,3
veero,2
vella,1
victory,1
virodh,2
virodhi,16
virodi,1
vl,1
vo,1
voter,1
wah,1
waheguru,1
wait,2
wali,1
walo,1
want,1
wants,1
waste,1
well,2
wing,1
wish,1
ya,3
yad,1
ye,5
yeh,1
yekta,3
yeqtta,1
yogi,1
yojana,1
yunion,1
yuva,1
zandbaad,1
zedabad,1
zinda,8
zindabaad,16
zindabad,49
zindabadd,1
zindawad,1
zzinda,1
