comment,
Mam actually ek kisan ki death ho gyi hai usko police walo ne itna mara ....,1
Dismiss the SDM,2
Naxalite is the future of India. Support country Naxalite and its government. Naxalite is always with you to alleviate poverty and ensure equal human rights.,2
Oneday Upvas for great Kisans 17 sept ...desh bachao,1
What about election campaign ,2
If that SDM was living in some foreign and did this thing there. He definitely was going to be restigate from his job by sending him to mental hospital. These type of guys harmful for the society.,2
ravish you are really shameless your mindset is beyond repair. be wise do not spoil ndtv,0
Ravish should be a man and join the anti Modi brigade... Sahi hain yeh aadmi... Kuch bhi ho jaye he needs to be anti Modi... By the pretence??? Go and officially join some opposition party and do some work than just talk and spread falsehoods...,0
Who is a farmer among these??? Thikait... Yogendra??? Glad that these losers are being ignored... Thikait failed politician now again trying his luck... Yogendra Yadav kicked out politician now again trying his luck... Chalo dekthe hain will these losers win ... Kaash yeh kuch kaam kar lete...,0
Ye in in,2
Ravish Kumar is a Legend ...,1
"Sports stars brighten country's name, not political farmers. This idiot anchor doesn't know that. Shame Shame to Rubbish Kumar.",0
"Long live Ravish, well done!",1
Main ravish KO acha samjta tha Lekin wo begarat Nikla.,2
"Ravish Kumar my friend, PLEASE PUT ENGLISH SUBTITLES TOO Ji",2
"Wa , rubbish Kumar what a rubbish ...",2
Ravish much love and blessings ,2
Farmers's grievance is still one of burning issue which needs quick redrressal.,1
Kissan will win win,1
show some love for this man,2
Ravish kumar ji you and Rakesh tikait ji are really fighting with these demons,1
Finally got some real news,2
We salute you ravishji. You are a great person. Never seen or heard such a daring journalist.,1
Where is Kumar and tell you all people are thousand percent perfect Kisan Must start playing games ravish Kumar you are right then honourable Prime Minister Shri Narendra Modi will have a talk with them and he invited them on event also video calling also,2
"Salute you sir,thanks.",2
We supports farmers,1
Ravish whatever way you cry and torn ur vocal cords is useless  ur part of dalla media .All of us know the truth,0
Only meadia saports people,2
India truly reflect in its villages and in its ordinary people. Those rulers who does not understand this will pay a great price.,1
Which type of govt it is ? Why they are destroying our formers,1
"     NDTV INDIA                     ,       NDTV INDIA       ",2
Great Boss,2
Support Ravish kumar and real reporting,1
Long Life lslam and jihad,2
Jai shree ram,0
Jaat ki tum media wale tension na hi lo to theek h,2
", ,  ,.....    .......
      .. ........... ..     ....          only  ... .... .",2
Rakesh tikait is so greedy,0
Pee news,2
"Jhooth bolta hai channel,",2
Jai shree ram,0
Abp  is the worst channel and they hate Indian farmers and india.  They are fake propaganda news and must be stop kissan zindabad,1
Never vote to BJP...jay Kishan,1
"This is all planned by Pakistan, khalistani, muslim, opposite party,baniya, middleman
How Pakistan is investing in this protest
Pakistan is transferring money to Canadian Khalistani organization and where they both collect money and transfer in india for protest as well as in india, money is collected from opposition party, middleman,anti aliment muslim, khalistani sikh.
What's will be effect from them by protest
1. Pakistan will effect Indian economy by internal riots without Pakistan military attack
2. Indian Muslim and Sikhs can stop India to become hindu rastra
3. Opposite political party can defeat bjp and make own government
4. Sikh will agrue from  in the name of bjp.
Their strategy to stop voters to vote bjp
1. Say them bhagat
2. Say them bjp it cell
But all we know now that's their in comments section 80% Pakistani it cell + khalistani it ce ll is working and if others comments in favour of bjp government then they will say it's bjp it cell or godi media .
But internally 80% khalistani and Pakistani it cell is working so that they can increase riots in india.
Be aware from Indian name I'd in comments they all are Pakistani but have made Indian named id so that they can make fool to Indian youthhhhh",2
Dakait congress party terrorist,0
BJP's only national party India,0
AAJ indra Gandhi hoti tho NAZARA kuch aur hota Sara Afghanistan PANJSHIR kai pass hota,2
Baycott yogi adityanath kick cm out,2
"Kiya anchor he,",2
"Rakesh tikait now chor, swarthi insan",0
Bjp will shut all the dirty mouths in October November ,0
Can you not tell this man Bagoria to stop talking rubbish?,2
Great context.Everyone needs more than there salary to be financially stable.The best thing to do with your money is to invest it rightly . Because money left for saving always end up used with no returns.I started investing in bitcoin mid November 2020 with the help of a well known professional mr Bryan Nelson and the profit entirely funded my recent duplex..,2
Tikait  ! You can not  set the  themes on  fire  because  you are not patriot. Country  first  Tikait  ji  then politics  go back  here no matter  nor your  chance,0
Captivating news,2
"                                      
Free electricity. Free water. Loan are forgiven. Pay no taxes. Mixes excessive harmful chemicals in the food. Sell water as milk. And they are still protesting.",2
I am a bhramin I request people of UP not to fall in SP and BSPs tactics they are fake.,0
Congress wale  aise uchal rhe hn jaise unke time pe kisan swarg mein tha .. 72 hoor thi agal bagal or Mercedes se ghumte jaise bjp aayi sab khtm bhai sahab kuch bhi,0
Why no one is pointing out which specific  clauses make the 3 Farm Bills black?,2
Z for Zhandu news Chanel,2
Modi is a great leader,0
Yeeeeeeee.... Corona to kabhi tha hi nehi ,2
2:36 Zee news removed their logo from interview mic Lol,2
Chor midea,2
Ask question from government.,1
   ZEE News .,2
RIP  chee news,2
Shree Aditya Nath Yogi is a lion of up we will decide that kisaki sarkar banegi up main,0
Ek like tho Bantha he.,2
BJP news.,2
He is trained by someone,2
Justice for sabiya         ,2
Justice for sabiya         ,2
"You should ask income will be double, not crop price  will be double. And ask him how Rakesh has accumulated so much wealth",0
Sandeep Choudhary you are great,2
Being a politician if he is supporting the farmers than what is the problem with this shameless anchor,1
Is it Govt channel?,2
Chor hain,2
"       
                
     To            ",2
"What a oversmart journalist is this 
He just indirectly trying to show that these r not real farmers",2
This bjp spokesperson Anchor is to junior front of RAKESH tikat ji,1
This fuckin bad dont know how to talk and debate,2
