comment,label
Kisan andolan propagation is not necessary.  Take up the matter of poor people suffering from kisan andolan and have lost their livelihood,0
Now no one is talking about covid and these super spreaders ,0
"Tikait graduated with anM.A.degree fromMeerut Universityand then didLLBafter that. He joinedDelhi Policein 1992, asconstablethen Sub Inspector,[6]but leftDelhi policein 19931994. After leaving police, he joined as a member of BKU.[5]After the death of his father, Tikait officially joined BKU and later became its spokesperson.[5]In 2018, Tikait was the leader of Kisan Kranti Yatra fromHaridwar,UttrakhandtoDelhi.[7]Tikait had contested the2007 UP Assembly electionsfrom theKhatauliseat as a candidate of the Bahujan Kisan Dal (BKD) party (withCongresssupport), only to finish a distant sixth.[8][9]In the2014 Indian general election, he fought on aRashtriya Lok Dalticket fromAmrohaLok Sabha constituency. He admits that he supported BJP in 2019 lok Sabha elections.[10]
When l Googled about him.he is not farmer  .I think farm law are good for farmers.They started protest repealing farm laws now they trying repealing modi from pm post,",0
"They are not farmers, only farmers of Punjab are affecting what about other states?? Now this is so called peaceful protest.",0
"Farmer's FAKE Protest : 

  , 
  .
  ,
  .  

  
   .
   , 
  . 

 ,
  . 
   
   . 

  ,
  . 
   ,
   . 

  ,
   . 
  ,
  .

 , 
 .
  ,
  .
 
 ,
  .
   , 
  .  

   
   
  
   

",0
It's better to go  grave yard by Mr.RT instead of misleading the some good farmers.,0
"My dear farmers why u r joining with this idiots protesters team lead by ''RT"" now in every home your children's are educated don't u listen their words weather it is good or bad the new farm law.

The new farm is in favour to the farmers not broker ,If u r protesting den u r supporting to brokers not farmer's.",0
Rakesh decoit infront there is a crocodile festival for u...,0
these people so menacong this man tikrit is devil incarnate shameless  man,0
"I hear alot of noise from Tikait but no solutions...
I mean yes, make your noise... But back it up with something other than just protesting...",0
"The funniest part of Indian Democracy is protests of peoples are based on hypothesis. Hypothetically humari citizenship chli jaegi, hypothetically humara land cheen liya jaega, hypothetically democracy is going to die in India. There isn't single case where the land of farmer was stolen nor there is single case where CAA and NRC took citizenship of any resident of India and yet you see chaos on the roads and stupidity of the peoples. See this is what happens when you alter the history and tell fake narratives and meaning about freedom struggle and freedom,people don't respect it!",0
All the time all those protests were for UP elections. Rakesh dakait is a fraud,0
Is this a protest or politics? We NCR people are facing traffic problems every day no one concern,0
Stone pelting farmers....Wow something new...,0
Stop calling them farmers. They are not farmers. They are just the middlemen and some paid communists/khangressis.,0
"Decoits protests...
What makes those turban people think that they are the only farmers in india.",0
Looks like Punjab is turning into another west bengal,0
"Fake farmer s movement. Jobless Yadav & co are agents of Congis & Cummins , Anti national Brigade.",0
They aren't farmers  if they were the fruits and vegetables price would sky rocketing,0
Tikait thinks he is the American  president,0
"Arrest all the anti nationals
There is no problems with the farm bill.
The GOVERNMENT should remain firm",0
Send them to Afghanistan where they are free to protest.,0
"ye sab BICHOLIYE hai ... Farmers of the whole country don't have any problems  BUT ONLY  UP farmers have the problems with the FARM LAWS !!!!!!!!!!!!!!!!!!!!!!!    oh yes, Election is coming next year in UP...!!!",0
"Corona be like i am a joke to you  
Election ke time pe hi ye fake farmers / Unions and political influenced people protest karte he ...",0
Thank god I'm from Himachal,0
*I'm pretty sure that at this point the real farmers would have starved to death. They are not poor farmers* ,0
"Why don't give them a separate country "" Khalistan "" ?
Punjabis don't fit in the fabric of India.
https://www.youtube.com/c/TV84official/videos",0
Abe hat kamine just pushing country into another Covid wave.,0
These Farmers are not less than terrorists ,0
"At this point, even the anti Modi media has stopped caring about these so called protests",0
"Punjab is a feudal state. Being living  around the state I have witnessed it myself.

The more ""gunda"" you are the more respect you get.
Being a gunda is seen as ""cool"" in Punjab.

The more vandalism you do, the more cool you are.
The mentality of Punjabis is like 
road tere bap ki nhi hm isse block krenge,
Bus tere bap ki nhi hm isko jalayenge.
 etc etc",0
Kik out Fake farmers from india ......,0
Any Honest IAS Officer would have proceed with law and order if the farmers blocking the highway and in turn it might have triggered the traffic jam in the highway.,0
These people don't pay taxes and gets every government subsidies that's why they don't care about government property only middle man has to suffer because of this gundas,0
Thus how Punjab separatist form,0
Is this Mahapanchayath? Seems to be less than 20-25 farmers. Karshaka samaram only in medias like yours. Even Punjab CM deserted this farmers,0
No Farmers are involved in these road blocks and illegal agitations.Tikaet is getting funds from Khalistani supporters from abroad. Congress   party is fully behind hese illegal irresponsible  meaningless agitations by goons who just plan to block India's developments which are very rapid and remarkable  under Modi Government.,0
"Dear YouTube, 10 hours ago, ndtv had 2 videos with the same storyline about official who asked to crack heads. This shows ndtv runs a propaganda news.",0
"Ever since Sanatan Sikh Samrat Ranjit Singh's death, Dharma has declined in Punjab and this is the result. How ironic that the empire Khalistanis want to get back is actually based on Hindu values! Because modern day abrahamized  Sikhism is a creation of the British and ISI + radicals from the 1920 tat khalsa singh sabha, not any enlightened Guru. Bani + brainpower proves this, and the next generation is waking up to the spiritual loss of Sikhs.",0
"People please understand even u r not happy with modi yes it is good for healthy democracy but sitution now a days becoming critical please understand that Lots country including american organisations and chinaitself doingfunding to destabilise india plz check the fact 
Their yt channel of String",0
If these fake farmers have any problem with Bill then go and sit on table  talk about that. Country has already gone through such horrible Covid wave . And they protesting there without any precautions and call themselves saver of nation. Nation destroyers.,0
"Farmers must not allow these anti-social elements to enter their area,  as farmers' name is losing respect. True farmers can not leave their land for even a week. They are toiling on the land and making record production of food grains for fellow nationals. Those who are on the road to make unrest to the general public are brokers and foreign agents paid for anti-national activities.",0
"Salaa these gundas dont face any action, officers face action for doing duty",0
 Are they farmers??,0
We are with you  carry forward your work  help congress to win elections?,0
Why they are behaving like peaceful community ,0
Jay Seree Ram Sar,0
Only farmers from Punjab are affected by farmer bill,0
There violence in indian only not at taliban killing them running into India,0
"Stone Pelting - India's most booming sport   
Every leftist party ruled  state is pro in this sport and achievers of ""National Liberandu Stone pelltor of the year"".  This game is organised every year near election date by Congress with a motto "" Modi hatao humko jitao vrna lathi khao "".",0
"All citizen have right to express their feeling but in th situation of covid  this  people were brainwashed  by opposition    for elections and don't care of third wave if third wave comes opposition  tells its failure of gov  and if gov interfeir here   they  become  ""police beat badly farmers"") ",0
Lol..it's a front for the opposition political party. Nice going,0
It's not farmers but these extremists and terrorists doing it.,0
These are terrorist not farmers...they must be punished,0
LOL are these guys farmers..  look like gundas,0
I request all the farmers of UP do not come under this fake farmer propaganda...Yogi is doing great work for UP... don't let UP again in the drain by supporting these fake farmers ...,0
This tikait doesn't know anything about the farm laws.I saw one of his interview where he couldn't answer what is his problem with farm laws.I belong to a farmer family from andhra pradesh but I never voted BJP. I support farmlaws and Modiji.,0
"No masks  no social distancing ?
and cry for oxygen and vaccines 
Im so sorry 
Indian people need to eat bacon  cheese  burger  
Use spoons  and chopsticks ",0
Who give fk to these fake farmers and covid spreaders as they spreading covid since last one year... no actual farmers behave like this...and this fake news promoting them since last more than a year,0
Leftists are spreading Corona everywhere.,0
"Wonder why only farmers are protesting!!!
Farmers are fighting for every ordinary Indian citizens. The whole country should be supporting them.",0
Looks like these Sikhs just wants to be very Sick,0
Humble request to all farmers to stop such protests..,0
They are not ordinary farmers they're cororpathya it is not daring all are frightened all are corona positive.,0
Stupid Modi-Shah cause of Misery to Indian farmers,0
Stupid farmers going against Modiji shame for them,0
Why Punjab Government is not taking action against these protestors?????,0
SUSPEND this protest !! Corona is DANGEROUS !! Lawlessness is unfotunate !!,0
This isn't the time to protest please stop,0
Kill everyone raskals...they are not farmers. No took money and they are very rich people,0
its hard to feel sorry for these people ...they are doing all this damage to themselves...no masks....rallys ...thier choice ..and they keep doing it...,0
Now these people will get the virus and they will be the super spreader.,0
send in the army to disperse the mass gatherings. Take action India to stop the spread. please,0
"farmer protest only symbolic, fizzle out",0
Covid will take care no issues,0
"Whatever they are protesting against, is going to be in vain, your voice cannot be heard when you can't breathe and your fighting for your life due to COVID-19!!
Pffft!!",0
