Username,Comment
Sampad Roy,"Choukidar chor  jasoos 
2024 choukidar chor GOL"
Munna Rana,Just full fill the demand of farmers otherwise BJP KICKED OUT from UP
Kavita meena..Rajasthan,Next year u.p. ..election BJP out
Nitin Shekhar,"What I love about this whole thing is sheer muslim support for 'farmers'of Punjab and 'Haryana'.

Just think about it and then laugh with me."
Nasreen Khanum Nasreen,Salute  you my sikh brother's
Adam Harris,Farmers protest will sweep Narendra Modi's corrupt government into oblivian.
Ravindra yadav,Bjp hato desh Bacho
RANJIT M M,Rakesh Dacayat why Allah ho Akabar its just a political rally not a Kissan Andolan all Indians please be alert how this so called dalal doing disturbing to all our life
PRAKSH SHUKLA,chillate raho.again and again Yogi/Modi in 2022 and 2024.this is political and andolanjivis andolan.people knows all these.people donot take interest in all these.
Rohit S,Real Farmers have no problem but these people are doing politics
Rohit S,Tu kr le apna ghar band ..chle hain bharat band karne 
Rohit Sharma,Only BJP
drama lover,"Tell me what they are fighting for
Is this really worth the battles 

Ek jagah Beth Ka thanda dimag SA socho Jo policy ma fault lag raha bolo ( ESA public property damage karka Kya milaga?) 
WhatsApp university Ka graduate ma bano."
Aryan Punia,What she mean with so called farmers they are farmers
nme w,Modi visited China 9 times. Not surprising he learnt a lot there
S R R,Current fascist govt is responsible for all these chaos.
VIJAY GACHANDE,they were goons of party not the real farmers
vang tain,Fight for justice. Stand with Indian farmers.
Sun R,Take strong action now. No national monument or place can be used for protests. No one should be inconvenienced. Protest only at designated place and peacefully. Do not democracy be kidnapped by hooliganism.
Bobin Kumar,With Hundreds of thousands of farmers suicides in the past two decades .and no new reform too. At last some effort from the ruling party with new reform.and the opposition parties has to oppose it as they are in the opposition. Interesting is even our media who prefer add fuel rather than a corrective force .some good suggestions than misleading the farmers if any bothered there life's or livelihood.
Franklin Das,So called Farmers?
hrjit,farmers are innocent and these dirty politicians andh bhagat are garbage which should be remove from universe
hrjit,farmers are innocent and these dirty politicians andh bhagat are garbage which should be remove from universe
Mr.X,"State:- UP
Police image:- Very corrupt
Party :- BJP
Date:- 26 January, 2021
Aim :- Insulting National Flag
Result:- Protesters not able to enter Delhi. UP police throws them away


State:- National Capital territory of New Delhi
Police image :- Normal
Party :- AAP
Date:- 26 January 2021
Aim :- Insulting National Flag 
Result:- Success

Can u think y?
That is the difference between Lotus and Broom ( jaadu) Delhi police isn't corrupt n no police is corrupt. The difference was that UP police was ordered to throw anybody destroying public property and Delhi police was not allowed to do anything except watch becuse opposition wanted to spoil BJP name"
Upen,"As a democratic country we have no issues with protests it's people's right to keep their word and keep there stand but DISRESPECTING COUNTRY'S FLAG, PUBLIC PROPERTY, POLICE FORCE AND PUTTING UP A RELIGIOUS FLAG IN A SECULAR COUNTRY IS UNACCEPTABLE these cannot be the real farmers of our country. SUPPORT OPINIONS AND RIGHTS NOT RIOTS"
Souperduk,"I now question sincerity of this, and BLM protests that became violent in the UK and the US. I never supported BLM hearing the original story that started the movement and wont either in the future. I supported the kisan movement due to the bills and their lack of support for kisans. However seeing the protests turn violent makes weakens my support. Real farmers are like my uncle. Lives in Punjab, has animals to look after and crops to tend to when not winter. Isnt concerned about stuff that wont directly impact his life. He doesnt have time for this. He knows if he goes to protest, no one tends to his animals. My cousin also lives in punjab, has no animals. He also has Nothing to do cuz its too cold anyway for crops. My cousin also takes money from my dad living in the UK and is a freeloader who went to protest. I have little sympathy for my cousin. My uncle has my sympathy but doesnt need it; his crops and animals feed his entire family and he still has plenty left over. Jai hind and happy belated republic day my fellow Indians . From a UK born punjabi who loves India to bits :)."
Chan Foong,"Indian is larger democracy country in the World, but there is not human right in Indian, People killed by India government. life in Indian are so cheap. Why can Indian learn it from Malaysia. In Malaysia they total wipe out caste system.  no wonder Malaysia-Indian dislike country of Indian. It is sad for Indian."
Doug guoD," So are farmers mostly Sikhs,  or are they just taking advantage of this situation? "
Bina Yadav,Stop calling them farmers they r khalistani terrerist
Sidhu Moose Wala,Sikhs have potential to win WORLD
सत्य-सनातनी-हिन्दू मराठा,"They are not farmers. 
They are dalals"
tee tee,"Wion fails to update the public on its own country as they them selfs feel embarrassed. 
Wion should have kept the public up to date on the farmer's tension. 
The farmers have every right, as they work hard 360 to keep us healthy and alive.
Modi should have asked, not tell the farmer's what to do.
Modi is trying the "" who gives up first "" game
The farmers should stay put and ignore modi new law.
Modi wants the farmer's to become a money pit for corporate company's. 
Hold your ground farmer's the world backs you all."
Trinity life,Shame on u news reporter ...u all r sold n India is destroyed
Kartik,"Stop saying Farmers , they are Khalistanis"
AjcalRaj,"They are not Farmers. True Punjabis love India, true patriots, and will never do such a thing. Those who vandalized Delhi are simply traitors/rioters/tukde tukde gang/khalistanis... I request the Indian Government to take strict actions against them as applicable for traitors. Democracy and free speech are the most basic rights of every Indian, but no true Indian has the right to misuse those rights, and never will they do so... those who do (leftists/extremist pacifiers/extrimists.tukde tukde gang etc.) are not Indians, but enemies/ traitors within, trying to break our Nation since independence, at the top is the entire pappu/congress gang... enough of this.. India needs to take strict actions against them now.."
Jayesh Ratangairi,"Imagine this after Supreme Court differed the news farms loans and formed a committee . 
Imagine this after the government is willing to differ the laws for two years with free electricity proposal 
Imagine delhi police gave the tractor rally a predetermined route yet they broke it and rioted in the red fort 
Imagine this khalistanis removed the tri colour and replaced it with their own flag 

This are not farmers this are terrorists"
Uma Gan,Why are many people saying that these are not farmers ? Why can't farmers protest like this ? Stop glorifying some professions. These were farmers and farmers can be pretty horrible given their lack of education and good manners..
Prasad Rallabandi,Are they farmers???
sugar cannon,"WION was in coma uptill now...did not show there long peaceful protest untill this chaos happened..why don't you ever show the insensibility of ur government.....poor n innocent police officers 
Wion was also sleeping when these so called police officers thrashed students.....When farmers were beaten... When thy used water cannons on them.... 
Eat shitt WION.... Low key republic tv"
Nishant Patar,It is time to give shoot on site order.
