comment,label
Support farmers support India,1
The Farmers protest is against the Farmers Bill and want it to be scrapped. The SC has put stop on law's implementation but this is not Farmers demand they want laws to be scrapped.,2
Rakes chor hay,2
I can understand this by ur video,2
Excellent initiative mam...vry easy to understand... excellent structure,2
Happy to see Annaji out of sleep...but he is responsible for all these miseries,2
we need a video for journalism aspirants sir !!!,2
Study IQ's UPSC course is designed by some of the best faculties in our country. Our comprehensive UPSC course will help you excel in both Prelims and Mains examination.,2
"They are not farmers, terrorist",0
We support farmers,1
Well done Rakesh ticket,1
Donald Trump said we gave Pakistan 10 Billion dollar quote ,2
Very good points at that last about organic farming.,2
Thank you very much  delhi people ,2
*They behave like 5 year old spoilt kids that only know how throw tantrums. They do not hv brains to nego.. They are not leaders.*,2
The outcome of the farm protest by Sikh: ,2
"Mahapanchayat of dalals, not of farmers. Farmers are being hoodwinked by these people, led by Tikait named dacoit.",0
govt. is done very sad things with farmers....rip democracy,1
So land grabbing has started nice,1
These are not farmers they are miscreants . What they did on 26 January was extreme example of that,0
Views for other videos is in lakhs,2
Sir i need one help..  i have ordered some products online from youtuber  and pay the advance payment but now he is not processing my order sir and no response received from him sir on WhatsApp and call please help sir..,2
Next cm akhilesh bhaiya,1
Who are u get lost ,2
"Manjit Singh Rai, BJP leader & Jay Shah (son of Amit Shah) are both alumnus of same college/school; must learn English as second language.",2
If you condemn trumps supporters capturing Capitol Hill then you should also condemn these who is  at Red Fort where an elected Prime Minister stands and addresses the nation.,2
"              This too will become a jumla, farmers will be upset again, see.",1
News anchor bjp kedalle hain,2
It literally is irrelevant if the leader is male or female.,2
Basically incomplete or misleading facts,2
Spam and misleading,2
25 minutes he kept questioning his behaviour .....not discussing the real issues of anti farmer bills. Pathetic anchor...,1
Godi media is now supporting bathe culprits,2
This is totally wrong. How can police do this,2
"My biggest mistake in life is voting bjp and this modi came to power daily I pray to God when this modi, amith shah will go from power or from world",2
Use this as an incentive and initiate pathbreaking reforms and advances.,2
Godi media Active ho gya,2
* Election is also there in an important state in next few months.,2
Farmers should feel ashamed after doing this kind of act,0
"One thing everyone needs to understand is Central Govt proposes and implements laws at the national level. They'll see what is more beneficial at the national level. When less than 5% across the nation are participating in these protests, it thumpingly displays that the new farm laws benefit the nation better. If it may cause any loss to that 5%, they've to sit with Govt and talk about alternative solutions for their possible loss, not fight to repeal the new laws. I hope this brings some sense to the protestors.",0
The definition of subsidy is wrong. It is not the difference between msp and cip.,2
"This procedure simply means, it will be enforced after the election.",2
Nobody force for contract farming.,0
"how do you agitate? if the courts do not discuss the issue, the govt is adamant on its stand; self-immolation is the only recourse then?",2
"The people who commits crime or who cheats people are allowed to wander, espace  but the people who protest peacefully for their right with valid reasons are targeted all time...everybody should think and thank the farmers before they eat...",1
Very very congratulations ji ,2
Wat might bjp thinking ,2
Tens of thousands of years of mental decay and we have descended to this level of absurdity. ,2
What is slavery? Your constitution is the constitution of the United Kingdom. Your official language is English.,2
I will not vote modi again after this lmaoo,1
"When he used the words ""Breaking the chains of slavery"" he was referring to the withdrawal of foreign military troops from Afghanistan. Because he has always maintained that Afghanistan should be governed by Afghan people themselves, therefore, the US must end its military occupation and all foreign military forces must withdraw from Afghanistan. That would be the only way to end this years-long conflict.",2
Democracy on Sale....Sad..really...God save us,1
Nishan Sahib is a flag which we can always see around Gurdwaras.,2
Shame on modi and rss,1
Manohar lal Khatter sleeping & not doing anything for farmers . Please PM Modiji remove immediately Manohar lal Khatter from CM.,2
This is india everyone is one one army one person but you decided meny problems,2
"Manisha, love the way u take a jab. Excellent ",2
The correct solution would have been amendments in the law.,1
" I am also the son of a farmer, so this pain is our own, if the farmer is not happy then it will be difficult to feed the whole world, first he committed many suicides, some debts were buried, he appealed to the state government  Oppose the decisions and understand the pain of their farmers and speak for their rights.  The media should also emphasize this.  Most of the farmers make a living by cultivating on a small plot of land, do not deprive them of their rights and oppose the decision of the government and so I request everyone that this uf",1
Very well explained!!..thumbs up,2
Jai Kissan Jai Jawan. The government are not going to use Covid (which is serious failure) as an excuse to brush away their demands. Stand on sarkars neck keep going do not back down an inch,1
"There are Protest Going on for the FARM BILLS. Many of us are unknown about the ground reality, well on a trend we are either opposing the protest or either supporting the protest, where the story is something else, We youth are the future to the nation, and it's our prior right that we should know the ground reality. Please do watch it till the end.",2
Finally today after lose of 700 life they have won,2
You have missed many important points in this video or did not wanted to cover like now farmers can not go to the court even after if any company refuse to pay them a single rupee and now  hording became legal for companies which earlier used to be a crime. We can already see the effect of these laws on ground now that Adani is buying apples in Himachal at the price of rs15 per kg and selling it in rs200 per kg in super stores across the country.,0
 1946     15         Patel  13       emotional blackmail       PM   ,2
All president's and prime minister s are terrorist now days. / I am job less team/,2
Next minute what will happen anyone never know all in one god 's hand if you believe in god please realize truth and false...... ,2
Security and freedom and women working to outside are a right please UN do not forget women and children of Afghanistan ,2
Many of the police get injured.,2
Thank you so much for information,2
"What the fuck people of this country are in power. They say this is a democratic nation. People have no Wright to protest calmly?Farmers protest was started from Punjab,82% of sikhs sacrified there lives for the freedom of this country but there is no respect.farmers are demanding there wrights why this stupid and incompetent government is not listening.is this a democratic country?modi has become a dictator  today.",1
2. eradicating APMC.,2
Remember when the British people had guts like this and fought for their liberty like these brave people.  GOD BLESS THEM,1
Its time for educated ppl to come in to farming. Just like australians did and finally agro industry boomed. Cus till goons are their leaders and uneducated farmers are just being played this will never change,0
Their meaningless protest had already done a great loss to nation. Now opposition and anti-national funded NGOs will look other way to harm India.,0
Abbba Vadra gives credit to his wife for centre s withdrawal of farm laws wah re wah fraud family,0
your words are not convincing to sound  ..  cant make understand things  properly ... say too much for small thing to understand,2
(All fascists are ATHEIST HAVING MASK OF CULT),2
that DEEP SINGH was actually DEEP SIDHU !!!,2
Modi is fool PM  of India,1
Farmers are right here,1
"It s victory of unity & great efforts of Punjabi farmers. They didn't get support from other parts of states n farmers so, the credit goes to only these farmers. My solute...",1
You are not former ,2
AJIT ask the farmers who are celebrating as though they won a lottery in Nigeria -what have they won? For your information its NOTHING! The farm laws were in the interest of the farmer!,0
"Anyone feel the same, oh this is farmbill.... And what's up all the noise on F*King tv , this damn politics",2
Beta kabi tone msg check kiye hai coment box ke.,2
Under this chairman there is no debate shame shame,2
Statement 2: recommendation of CACP are not binding on the govt,2
"5. Hypocrite : there are no good affords done by taliban according to thousands of Afgan desperate  hungger, sick in international refugee camps",2
I have one question: why don't the government just shift the MSP from surplus crops to other crops that they want to incentivize.,2
Hence repealment of the laws indicates Modi ji has a bigger surprise.....,2
Long live Indians farmer...! Jai Bharat,1
"I am jealous with you, you achieved lot of love",2
These details should be covered in mainstream media but sadly enough it is not so,2
"Violence cant be justified. I condemned police too when they did lathicharge in the starting of January and I will condemn this act of terrorism as well. Use your brain, we Indians cant justify violence, aise toh kl kuch log protest krne lgenge ki 370 wapis laaoo. This is wrong!",2
Only shree Arvind kejriwal can brings revolution of education in india.,2
Karnataka Protest - lathicharge and golibar.,2
Who said they are farmers,0
Nobody is complaining about air pollution. All these fuel guzzling tractors.,0
I have watched so many videos of scoopwhoop but I subscribe today I dont even know that I have not subscribe you I subscribe in American date 9/10/21 in American date MM/DD/YEAR in India I guess day comes 1st than month than year,2
Modi harrassment to agriculturist to make them free from land.,1
Taliban assuring peace and safety to Sikh community. But india is just spreading propagandas,2
"Can you trust this man with white beard?  He has sold India down the river eg railway etc,  he looted public of 500 rupees , did not bring back  ill gotten monies (black money) and the list goes on.",1
YES! THIS MARKS THE 72nd  REPUBLIC DAY OF OUR COUNTRY INDIA. GOVERNMENT BE ASHAMED.,1
"Just keep crying Ra-ndia, that's all you specialize in ",2
"*Here comes undemocratic , religiously divided and an authoritarian India *",2
"- NO free drinks, free food, free tents,",2
To Interfering indian govt and  farmers,2
Great framer protest,1
Why the left leader not included. They were the vital figures to unify the different farmers groups . The Kisan Sabha,1
Please provide us with more such explanations.,2
Corporate sector ko badhawa dene wala bill hai.,2
maybe fight back!  whats wrong with these men,2
"Those are not farmers you idiots, they are middleman who are making profits out of farmers, Modi wants to cut these middlemen out so that the Farmers get all the profits. You leftist Quint, help the farmers not the middleman!",0
Ghatiya channel...ghatia reporter... Modi ke chamchey..Godi media,2
"Goal post has shifted, US dollars in plenty to be paid to rich Kissans.",0
Next Bollywood movie coming ,2
"The roads are not cleared ,even after repealing the laws.they will continue,because terrorists  have infiltrated the protests",0
THESE POLITICAL PEOPLE ONLY SPEAK FOR CAMERA.,2
MODI should be declared a clown,1
"the problem of BJP govt.in indian politics is an unfortunate one,the laders are uneducated and think themselves higher than anyone else!common people suffer!",1
Kudos to those who are still supporting BJP.,1
Thankyou so much Team Drishti!,2
So to break these protest and in interest to internal security ...modi had to withdraw or taken back decesion of farm laws bill.,0
CANT ONE GOVT POLICE IAS IPS RESIGN and come to media to REVEAL TRUTH,1
Mukesh Ambani and Gautam Adani will Cancelled the 3 Antifarmers Bills.  !,2
That voice ._.,2
Agree with most points but still modi government will come out unscathed...,2
"Drama, nothing",2
Treating them as terrorists is inhumane....these people are the feeders of out country,1
There are many more farmers in India then  these protesters who support to the law,0
Indias evolution took a u turn after 2014,2
"Nakali gandhis stop your drama, you to do not a word singhur murder and Jaspur killing. Why this partiality? Why are you misleading the farmers? Munde baimuch.",0
BBC UK            ,2
Sir aap pr bhi yhi classes do please,2
Waste of time better lauugh,2
Stop self praising. We are not fools. Drame baaj,2
"The day will come when Someone will write a book on modi's ruling era. And these all videos and pictures will be used as reference in that book. The book will named as ""Modi the minorities destroyer""",1
You would not live to see another had this govt try to follow Talibans. In my opinion you should get the same treatment what Talibans give to other religious minorities.,2
 80% farmers own only less than 2 hectres /5 acre land.,2
"Bravo Modi. You did a great thing but the vampire middlemen and the hypocritical hate-filled opposition leaders out for blood did a great wrong. I wonder when the small farmer will start a protest, but they don't have the resources to do that.",0
its very sus to see ONLY Punjabi  in this protest.  As they are the wealthiest farmers and mandi lords in India.  ,0
Why sedation cases against everyone and everybody except for ppl from ruling party and tbeir supporters.?,1
First time on Media coverage maximum dislike. Lanat ho tara par Rabia,2
ACOORDING TO INTELIGENCE REPORTS ISI IS PLANNING  LARGE SCALE  violence THROUGH  FARMERS.  So MODI IS SMARTLY HANDLING  IT ,0
To is hisab se to ye bill court me challenge keya jaa skta hai.... ,1
Looking at developments in recent years in India I fear our country is going in the same direction as Pakistan took in 80s.,2
YE SHI NHI H,2
Good coverage of kisani Andolan ,2
India please help pajshir,2
I can hear khalistan jindabad in the end,0
