set1,frequency
aadmi,1
accept,1
accommodate,1
acres,1
action,1
activists,1
ada,1
adalah,1
afghanistan,1
agar,1
ahmadiya,1
aka,1
al,2
allow,1
allowed,3
almost,1
already,1
also,5
always,4
amnesty,1
among,1
ancestors,2
anymore,2
apart,1
apne,1
arakan,1
arbitrary,1
are,1
armed,2
army,7
arrived,1
arsa,3
asean,1
ask,1
asked,1
ass,1
atanki,1
atankvadi,2
athiochozon,2
atnkiaon,1
atrocities,1
attack,2
attacked,3
attacking,1
attitude,1
august,1
aur,2
b,1
back,3
backs,1
bad,2
banci,1
bangali,5
bangaly,1
bangla,2
bangladesh,15
bangladeshi,6
bangladeshis,3
bangladeshiwho,1
bangsa,1
bbc,1
became,2
becames,1
become,1
belomgs,1
belong,2
bengal,2
bengali,7
bengalies,1
bengalis,1
better,1
bhag,2
bhagao,10
bhagayeee,1
bhai,1
bharat,1
bhasan,1
bhi,1
bias,1
big,1
boats,1
bombladesh,1
born,3
bosnia,1
boy,4
bradford,1
breed,1
british,1
bros,1
brother,3
brothers,5
brought,1
bta,1
buddhist,2
buddist,1
budhist,1
bumi,1
burma,1
burmese,2
butchered,1
ca,1
cabuk,3
called,1
came,1
camp,2
camps,5
caring,1
case,2
cause,3
causing,1
cenderung,1
census,1
children,3
china,2
ching,1
chittagong,1
citizens,8
civil,1
civilian,1
civilians,2
clothes,1
clowns,1
come,6
comes,1
coming,1
comment,1
commints,1
commited,1
commiting,1
community,10
could,2
countries,1
country,13
course,1
cover,1
coz,1
crazy,1
created,1
cries,1
crimes,1
crises,1
crisis,23
crying,1
daily,1
danger,1
dear,1
decade,1
decendants,1
delhi,1
demanding,1
denied,1
denounce,1
deportation,1
deported,1
deprived,1
der,1
descendants,1
desh,1
destroy,1
dh,1
dharti,1
di,1
died,1
different,2
dig,1
dirty,1
distant,1
documented,1
dohingya,1
done,3
dont,2
doubt,1
elders,1
enemy,1
enforced,1
english,1
enjoyed,1
enter,1
ethnic,4
ethnicity,1
even,3
ever,3
except,1
executed,1
exit,1
expense,1
faced,1
faces,1
facing,1
fact,1
fake,1
falling,1
family,6
father,1
fight,1
fighter,1
fighters,4
fighting,1
first,1
flead,1
fled,3
flee,1
follow,1
food,1
forced,1
foreign,1
forget,1
form,2
formed,1
france,1
free,1
freedom,10
friends,1
full,1
gandu,1
gangs,1
general,1
genocide,25
germany,1
get,8
ghusenge,1
girl,2
give,4
given,2
giving,1
go,18
goblok,1
going,1
good,1
gourup,1
government,3
grateful,2
great,2
greeting,1
guest,1
guy,1
guys,2
haatooo,1
hai,4
hain,2
hamare,1
hame,1
hanya,1
happy,1
hard,2
harek,1
hathiyarband,2
help,1
helping,1
hindu,85
hinduo,2
hindus,10
histories,1
history,7
ho,2
home,3
homeless,1
hometown,1
hoon,2
houses,2
however,1
http,2
huge,1
human,3
humanitarian,1
humanity,2
humanplz,1
illegal,1
ilove,1
immigrants,2
impunity,1
including,1
india,16
indian,3
indonesia,2
indonesian,1
infedel,1
infiltrators,1
ini,2
innocent,2
internal,1
involved,1
is/was,1
ish,1
islamic,2
islamist,1
israelites,1
issue,15
janbar,1
jansankya,1
jao,1
jaye,1
jihadiyo,1
jindabat,1
junta,1
justice,1
k,1
ka,9
karen,1
karma,1
ke,9
keep,2
kesian,1
khub,1
khud,1
ki,2
kicked,1
killed,5
killer,1
killing,1
kills,1
kimg,1
kinds,1
know,4
ko,62
kob,1
konsa,1
kya,1
kyon,1
lakh,1
land,3
language,4
lari,1
later,2
laude,1
leader,3
least,1
leave,1
left,1
legal,2
liberation,1
life,2
like,1
live,2
lived,1
lives,1
living,4
local,1
locals,1
logbangladesihai,1
logo,4
logon,2
logone,1
london,1
look,1
lost,2
m,3
made,1
maderchd,1
maderchod,1
maga,1
makan,1
make,1
making,4
malaysia,9
man,2
mankind,1
many,1
marry,1
martyrs,1
mass,1
massacre,2
massacred,2
masscre,1
may,2
maynoryti,1
mean,1
media,2
men,1
mendetory,1
menuntut,1
mercenaries,1
mercy,1
mereka,1
mia,1
migrants,1
militant,3
militants,5
military,1
million,1
minorities,2
minority,8
mixed,1
mosque,1
mostly,1
mouth,1
move,1
much,1
mujahideenfought,1
munafik,1
muppets,1
murdabad,1
musalam,1
musalmaan,1
musalman,9
musalmano,10
musalmanon,3
mushalman,1
muslim,95
musliman,1
muslimnoku,1
muslimo,1
muslims,87
muslins,1
muslm,1
muslman,2
muslmano,1
must,5
myanmar,58
n,1
nahi,2
name,4
nation,1
national,4
nationality,1
native,4
ne,1
need,6
needs,1
new,2
news,1
nhi,1
ni,1
noor,1
north,1
nothing,1
nt,12
obtaining,1
often,1
oh,1
one,6
oneday,1
origin,2
originally,1
overwhelming,1
pakistan,5
pandai,1
papers,1
par,1
patriotic,1
pay,1
