comment,label
Well farmers can't read and once big companies enters into direct contracts with the farmers the middle men stop making money. Lots of rich people have a lot to lose. But eventually these rich companies might just screw the farmers... Best case is the famers form cooperatives and negotiate in bulk.,0
If they are asking just to Add. Minimum purchase price what's the problem at least Traders cannot cheat farmers with lower purchase rate,2
For non Indians Kindly support punjab haryana famers in India.....it is do or die for us....raise your voice for us ......your support is much needed,0
Catering to small farmers isnt financially helping them or the country at all.  ,1
"Central Govt. is just greedy to earn Money as TAX from these all ""BIG FISHES"" in the name of Welfare of Farmers.",0
"2. SDM will be the last where farmers can go for their disputes with companies. This is India, everyone know how are administration works, there must be an option to file a case in judiciary otherwise Farmer will never get what he deserve.",0
Love from Pakistan to farmers,0
"After death of 71 farmers, the government still remains unaffected.",0
"Said to see the reality of so called modern, educated and independent India. Leaders should not forget theirs oaths. This is the failure of democracy. Government of the people has turn against them. Only God knows what happen next. Let's hope for best!",1
"World Supports the Farmers of India. If the Farmers do not get a fair opportunity to live and work in a free market, how will the people of India eat? Modi must of got a slap from GOD.",0
"Today, Farmers are leaving from this place after a year protest.",0
Great to see everyone supports poor farmers. Modi should not kill Indian farmers and their families otherwise someone might try to do something.,0
Vox knows more about the farmers protest then the British prime minister ,0
"The world has a big gap between rich and poor but India and more under MODI and BJP the RIch and poor gap in india  is astounding beyond belief , in my opinion  BJP and the RIch Gujarati are taking over India .",0
"In my area potato is a major crop, farmers have been sending their final crop to nearby districts and even to nearby statea depending on where they are getting better prices.",1
so many episodes to destroy the image of farmers...and just one video of yours ,0
Free  Punjab and haryana hindu oppression of Sikhs and Christians must be  Canada supports ,0
"Also there are other points not mentioned how farmers in this region became over reliant on govt buying grain from them from national reserves, how dairy industry functions without any govt mandi or that it's not always big corporations vs small farmer, Indian market is not same as US market, here t",1
"leaving things to corporate sector will be the biggest mistake.. that is what farmers are protesting for..  Indian corporate sector is one of the worst in the world.. leave agricultural sector, is there anyone that is happy in any other private sector.. why do then everyone wants a government job..",0
1. Essential commodities be restored 2. Minimum price ensured and implement..,0
so at the end the consumers want the vegetable and grains at dead cheap price..... but the same consumers will shed crocodile tears for the poor farmer at the same time rt !!,0
"Such bills are already implemented in America and European countries there are no such good results for farmers in those countries, After these bills debt on farmers increased and sucide rates in America got increased..",0
Salute to farmers,0
"Why don't you beep everything and claim modi was driving it, what a example of reporting he said vehicle belongs to das, if you want to oppose someone point out the faults don't fabricate them. What else to expect from Rubbish",1
