raw_comment,tokenized_comment,label
Well farmers can't read and once big companies enters into direct contracts with the farmers the middle men stop making money. Lots of rich people have a lot to lose. But eventually these rich companies might just screw the farmers... Best case is the famers form cooperatives and negotiate in bulk.,well farmer can not read and once big company enter into direct contract with the farmer the middle men stop make money lot of rich people have a lot to lose but eventually these rich company might just screw the farmer best case be the famers form cooperative and negotiate in bulk,0
If they are asking just to Add. Minimum purchase price what's the problem at least Traders cannot cheat farmers with lower purchase rate,if they be ask just to add minimum purchase price what be the problem at least trader can not cheat farmer with low purchase rate,2
For non Indians Kindly support punjab haryana famers in India.....it is do or die for us....raise your voice for us ......your support is much needed,for non indian kindly support punjab haryana famers in india it be do or die for u raise your voice for u your support be much need,0
Catering to small farmers isnt financially helping them or the country at all.  ,cater to small farmer isnt financially help them or the country at all,1
"Central Govt. is just greedy to earn Money as TAX from these all ""BIG FISHES"" in the name of Welfare of Farmers.",central govt be just greedy to earn money a tax from these all big fish in the name of welfare of farmer,0
"2. SDM will be the last where farmers can go for their disputes with companies. This is India, everyone know how are administration works, there must be an option to file a case in judiciary otherwise Farmer will never get what he deserve.",2 sdm will be the last where farmer can go for their dispute with company this be india everyone know how be administration work there must be an option to file a case in judiciary otherwise farmer will never get what he deserve,0
Love from Pakistan to farmers,love from pakistan to farmer,0
"After death of 71 farmers, the government still remains unaffected.",after death of 71 farmer the government still remain unaffected,0
"Said to see the reality of so called modern, educated and independent India. Leaders should not forget theirs oaths. This is the failure of democracy. Government of the people has turn against them. Only God knows what happen next. Let's hope for best!",say to see the reality of so called modern educate and independent india leader should not forget theirs oath this be the failure of democracy government of the people have turn against them only god know what happen next let be hope for best,1
"World Supports the Farmers of India. If the Farmers do not get a fair opportunity to live and work in a free market, how will the people of India eat? Modi must of got a slap from GOD.",world support the farmer of india if the farmer do not get a fair opportunity to live and work in a free market how will the people of india eat modi must of get a slap from god,0
"Today, Farmers are leaving from this place after a year protest.",today farmer be leave from this place after a year protest,0
Great to see everyone supports poor farmers. Modi should not kill Indian farmers and their families otherwise someone might try to do something.,great to see everyone support poor farmer modi should not kill indian farmer and their family otherwise someone might try to do something,0
Vox knows more about the farmers protest then the British prime minister ,vox know more about the farmer protest then the british prime minister,0
"The world has a big gap between rich and poor but India and more under MODI and BJP the RIch and poor gap in india  is astounding beyond belief , in my opinion  BJP and the RIch Gujarati are taking over India .",the world have a big gap between rich and poor but india and more under modi and bjp the rich and poor gap in india be astound beyond belief in my opinion bjp and the rich gujarati be take over india,0
"In my area potato is a major crop, farmers have been sending their final crop to nearby districts and even to nearby statea depending on where they are getting better prices.",in my area potato be a major crop farmer have be send their final crop to nearby district and even to nearby statea depend on where they be get good price,1
so many episodes to destroy the image of farmers...and just one video of yours ,so many episode to destroy the image of farmer and just one video of yours,0
Free  Punjab and haryana hindu oppression of Sikhs and Christians must be  Canada supports ,free punjab and haryana hindu oppression of sikh and christian must be canada support,0
"Also there are other points not mentioned how farmers in this region became over reliant on govt buying grain from them from national reserves, how dairy industry functions without any govt mandi or that it's not always big corporations vs small farmer, Indian market is not same as US market, here t",also there be other point not mention how farmer in this region become over reliant on govt buying grain from them from national reserve how dairy industry function without any govt mandi or that it be not always big corporation vs small farmer indian market be not same a u market here t,1
"leaving things to corporate sector will be the biggest mistake.. that is what farmers are protesting for..  Indian corporate sector is one of the worst in the world.. leave agricultural sector, is there anyone that is happy in any other private sector.. why do then everyone wants a government job..",leave thing to corporate sector will be the big mistake that be what farmer be protest for indian corporate sector be one of the bad in the world leave agricultural sector be there anyone that be happy in any other private sector why do then everyone want a government job,0
1. Essential commodities be restored 2. Minimum price ensured and implement..,1 essential commodity be restore 2 minimum price ensure and implement,0
so at the end the consumers want the vegetable and grains at dead cheap price..... but the same consumers will shed crocodile tears for the poor farmer at the same time rt !!,so at the end the consumer want the vegetable and grain at dead cheap price but the same consumer will shed crocodile tear for the poor farmer at the same time rt,0
"Such bills are already implemented in America and European countries there are no such good results for farmers in those countries, After these bills debt on farmers increased and sucide rates in America got increased..",such bill be already implement in america and european country there be no such good result for farmer in those country after these bill debt on farmer increase and sucide rate in america get increased,0
Salute to farmers,salute to farmer,0
