Seed Size,Accuracy,Precision_W,Recall_W,F1score_W,Precision_mi,Recall_mi,F1score_mi
26,0.674347158,0.671686939,0.674347158,0.668208515,0.674347158,0.674347158, 0.674347158218126	
31,0.686635945,0.689540352,0.686635945,0.68756473,0.686635945,0.686635945, 0.6866359447004609	
36,0.67281106,0.670441641,0.67281106,0.665461262,0.67281106,0.67281106, 0.6728110599078341	
41,0.695852535,0.693968753,0.695852535,0.690993086,0.695852535,0.695852535, 0.695852534562212	
46,0.678955453,0.67730501,0.678955453,0.677767254,0.678955453,0.678955453, 0.6789554531490015	
51,0.668202765,0.667189188,0.668202765,0.667594808,0.668202765,0.668202765, 0.6682027649769585	
56,0.675883257,0.684674842,0.675883257,0.677336871,0.675883257,0.675883257, 0.6758832565284179	
61,0.674347158,0.689705288,0.674347158,0.675479671,0.674347158,0.674347158, 0.674347158218126	
66,0.643625192,0.66744395,0.643625192,0.643551193,0.643625192,0.643625192, 0.6436251920122887	
71,0.634408602,0.68089462,0.634408602,0.628947174,0.634408602,0.634408602, 0.6344086021505376	
76,0.629800307,0.691343765,0.629800307,0.620088001,0.629800307,0.629800307, 0.6298003072196621	
81,0.64516129,0.685113664,0.64516129,0.641707313,0.64516129,0.64516129, 0.6451612903225806	
86,0.651305684,0.684227213,0.651305684,0.649543274,0.651305684,0.651305684, 0.6513056835637481	
91,0.666666667,0.689194367,0.666666667,0.666927805,0.666666667,0.666666667, 0.6666666666666666	
96,0.662058372,0.683213531,0.662058372,0.662504971,0.662058372,0.662058372, 0.6620583717357911	
101,0.657450077,0.675052519,0.657450077,0.658368838,0.657450077,0.657450077, 0.6574500768049155	
106,0.668202765,0.684901634,0.668202765,0.669215145,0.668202765,0.668202765, 0.6682027649769585	
111,0.674347158,0.691143194,0.674347158,0.67534079,0.674347158,0.674347158, 0.674347158218126	
116,0.683563748,0.699762794,0.683563748,0.6845997,0.683563748,0.683563748, 0.6835637480798771	
121,0.683563748,0.691533514,0.683563748,0.684974828,0.683563748,0.683563748, 0.6835637480798771	
126,0.692780338,0.701287859,0.692780338,0.694157005,0.692780338,0.692780338, 0.6927803379416283	
