Seed Size,Accuracy,Precision_W,Recall_W,F1score_W,Precision_mi,Recall_mi,F1score_mi
26,0.695852535,0.69798056,0.695852535,0.696595329,0.695852535,0.695852535, 0.695852534562212	
31,0.652841782,0.652841782,0.652841782,0.652841782,0.652841782,0.652841782, 0.65284178187404	
36,0.668202765,0.667671958,0.668202765,0.667912107,0.668202765,0.668202765, 0.6682027649769585	
41,0.658986175,0.660552929,0.658986175,0.659614551,0.658986175,0.658986175, 0.6589861751152074	
46,0.666666667,0.668729766,0.666666667,0.667433216,0.666666667,0.666666667, 0.6666666666666666	
51,0.678955453,0.687199498,0.678955453,0.680391335,0.678955453,0.678955453, 0.6789554531490015	
56,0.683563748,0.694395396,0.683563748,0.68494955,0.683563748,0.683563748, 0.6835637480798771	
61,0.669738863,0.683346622,0.669738863,0.671028626,0.669738863,0.669738863, 0.6697388632872504	
66,0.668202765,0.684185477,0.668202765,0.669289006,0.668202765,0.668202765, 0.6682027649769585	
71,0.674347158,0.689705288,0.674347158,0.675479671,0.674347158,0.674347158, 0.674347158218126	
76,0.689708141,0.712513293,0.689708141,0.690008346,0.689708141,0.689708141, 0.6897081413210445	
81,0.69124424,0.707927327,0.69124424,0.692221405,0.69124424,0.69124424, 0.6912442396313364	
86,0.685099846,0.700954039,0.685099846,0.686163605,0.685099846,0.685099846, 0.685099846390169	
91,0.697388633,0.711941872,0.697388633,0.698522911,0.697388633,0.697388633, 0.6973886328725039	
96,0.686635945,0.699383786,0.686635945,0.687922483,0.686635945,0.686635945, 0.6866359447004609	
101,0.678955453,0.691978827,0.678955453,0.680253597,0.678955453,0.678955453, 0.6789554531490015	
106,0.680491551,0.687425535,0.680491551,0.681884281,0.680491551,0.680491551, 0.6804915514592934	
111,0.674347158,0.680800832,0.674347158,0.675741072,0.674347158,0.674347158, 0.674347158218126	
116,0.671274962,0.679260968,0.671274962,0.672740841,0.671274962,0.671274962, 0.6712749615975423	
121,0.674347158,0.681296809,0.674347158,0.675766671,0.674347158,0.674347158, 0.674347158218126	
126,0.674347158,0.681296809,0.674347158,0.675766671,0.674347158,0.674347158, 0.674347158218126	
131,0.677419355,0.685397241,0.677419355,0.678857835,0.677419355,0.677419355, 0.6774193548387096	
136,0.680491551,0.687938467,0.680491551,0.681903333,0.680491551,0.680491551, 0.6804915514592934	
141,0.686635945,0.694070736,0.686635945,0.688020577,0.686635945,0.686635945, 0.6866359447004609	
146,0.666666667,0.67388677,0.666666667,0.668130387,0.666666667,0.666666667, 0.6666666666666666	
151,0.678955453,0.68515105,0.678955453,0.680314735,0.678955453,0.678955453, 0.6789554531490015	
156,0.695852535,0.704358229,0.695852535,0.697215435,0.695852535,0.695852535, 0.695852534562212	
161,0.680491551,0.689561592,0.680491551,0.681924203,0.680491551,0.680491551, 0.6804915514592934	
166,0.688172043,0.693388836,0.688172043,0.689419542,0.688172043,0.688172043, 0.6881720430107527	
171,0.69124424,0.695555462,0.69124424,0.692383812,0.69124424,0.69124424, 0.6912442396313364	
176,0.686635945,0.691185002,0.686635945,0.687819042,0.686635945,0.686635945, 0.6866359447004609	
181,0.69124424,0.693569689,0.69124424,0.692040806,0.69124424,0.69124424, 0.6912442396313364	
186,0.698924731,0.701040682,0.698924731,0.699660023,0.698924731,0.698924731, 0.6989247311827957	
191,0.701996928,0.704460199,0.701996928,0.702805342,0.701996928,0.701996928, 0.7019969278033794	
196,0.69124424,0.692873315,0.69124424,0.691861714,0.69124424,0.69124424, 0.6912442396313364	
201,0.697388633,0.700056868,0.697388633,0.698248281,0.697388633,0.697388633, 0.6973886328725039	
206,0.69124424,0.693938775,0.69124424,0.692121343,0.69124424,0.69124424, 0.6912442396313364	
211,0.688172043,0.689482873,0.688172043,0.68869609,0.688172043,0.688172043, 0.6881720430107527	
216,0.703533026,0.704198971,0.703533026,0.703824463,0.703533026,0.703533026, 0.7035330261136713	
221,0.698924731,0.699744883,0.698924731,0.699275423,0.698924731,0.698924731, 0.6989247311827957	
226,0.705069124,0.705876052,0.705069124,0.705412659,0.705069124,0.705069124, 0.7050691244239631	
231,0.697388633,0.698996766,0.697388633,0.697993819,0.697388633,0.697388633, 0.6973886328725039	
236,0.695852535,0.696983281,0.695852535,0.696312878,0.695852535,0.695852535, 0.695852534562212	
241,0.703533026,0.705120218,0.703533026,0.704125925,0.703533026,0.703533026, 0.7035330261136713	
246,0.705069124,0.705876052,0.705069124,0.705412659,0.705069124,0.705069124, 0.7050691244239631	
251,0.701996928,0.702524608,0.701996928,0.702234237,0.701996928,0.701996928, 0.7019969278033794	
256,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321, 0.7081413210445467	
261,0.706605223,0.706254233,0.706605223,0.706414661,0.706605223,0.706605223, 0.706605222734255	
266,0.705069124,0.705592154,0.705069124,0.705303987,0.705069124,0.705069124, 0.7050691244239631	
271,0.701996928,0.702253426,0.701996928,0.70211854,0.701996928,0.701996928, 0.7019969278033794	
276,0.705069124,0.705323176,0.705069124,0.705189482,0.705069124,0.705069124, 0.7050691244239631	
281,0.708141321,0.707904903,0.708141321,0.708016403,0.708141321,0.708141321, 0.7081413210445467	
286,0.705069124,0.705069124,0.705069124,0.705069124,0.705069124,0.705069124, 0.7050691244239631	
291,0.711213518,0.71076152,0.711213518,0.710960538,0.711213518,0.711213518, 0.7112135176651304	
296,0.709677419,0.709118497,0.709677419,0.709355877,0.709677419,0.709677419, 0.7096774193548389	
301,0.708141321,0.707904903,0.708141321,0.708016403,0.708141321,0.708141321, 0.7081413210445467	
306,0.701996928,0.701315702,0.701996928,0.701596386,0.701996928,0.701996928, 0.7019969278033794	
311,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321, 0.7081413210445467	
316,0.703533026,0.703177907,0.703533026,0.703340469,0.703533026,0.703533026, 0.7035330261136713	
321,0.703533026,0.703177907,0.703533026,0.703340469,0.703533026,0.703533026, 0.7035330261136713	
326,0.706605223,0.706484456,0.706605223,0.706543167,0.706605223,0.706605223, 0.706605222734255	
