Seed Size,Accuracy,Precision_W,Recall_W,F1score_W,Precision_mi,Recall_mi,F1score_mi
26,0.606758833,0.62352181,0.606758833,0.541983136,0.606758833,0.606758833, 0.6067588325652842	
31,0.600614439,0.615001673,0.600614439,0.530700767,0.600614439,0.600614439, 0.6006144393241167	
36,0.602150538,0.622176827,0.602150538,0.528939183,0.602150538,0.602150538, 0.6021505376344086	
41,0.620583717,0.639209921,0.620583717,0.56715851,0.620583717,0.620583717, 0.620583717357911	
46,0.648233487,0.649361273,0.648233487,0.628733144,0.648233487,0.648233487, 0.6482334869431644	
51,0.620583717,0.637501885,0.620583717,0.621601359,0.620583717,0.620583717, 0.620583717357911	
56,0.603686636,0.598395696,0.603686636,0.598748176,0.603686636,0.603686636, 0.6036866359447005	
61,0.65437788,0.674152823,0.65437788,0.655005986,0.65437788,0.65437788, 0.6543778801843319	
66,0.683563748,0.6899893,0.683563748,0.684918211,0.683563748,0.683563748, 0.6835637480798771	
71,0.700460829,0.703115915,0.700460829,0.70131175,0.700460829,0.700460829, 0.7004608294930875	
76,0.701996928,0.704100804,0.701996928,0.702724716,0.701996928,0.701996928, 0.7019969278033794	
81,0.689708141,0.717193978,0.689708141,0.689371326,0.689708141,0.689708141, 0.6897081413210445	
86,0.677419355,0.7185169,0.677419355,0.674628701,0.677419355,0.677419355, 0.6774193548387096	
91,0.706605223,0.729459842,0.706605223,0.706941706,0.706605223,0.706605223, 0.706605222734255	
96,0.700460829,0.7172816,0.700460829,0.701408826,0.700460829,0.700460829, 0.7004608294930875	
101,0.701996928,0.719230216,0.701996928,0.702906195,0.701996928,0.701996928, 0.7019969278033794	
106,0.705069124,0.725656772,0.705069124,0.705651078,0.705069124,0.705069124, 0.7050691244239631	
111,0.712749616,0.723993187,0.712749616,0.713997866,0.712749616,0.712749616, 0.7127496159754224	
116,0.697388633,0.721806624,0.697388633,0.697510021,0.697388633,0.697388633, 0.6973886328725039	
121,0.717357911,0.725283017,0.717357911,0.718618293,0.717357911,0.717357911, 0.7173579109062981	
126,0.725038402,0.732125953,0.725038402,0.726245803,0.725038402,0.725038402, 0.7250384024577573	
131,0.718894009,0.730159775,0.718894009,0.720115558,0.718894009,0.718894009, 0.71889400921659	
136,0.718894009,0.727099414,0.718894009,0.720151265,0.718894009,0.718894009, 0.71889400921659	
141,0.709677419,0.732621301,0.709677419,0.710010379,0.709677419,0.709677419, 0.7096774193548389	
146,0.715821813,0.729113403,0.715821813,0.716970887,0.715821813,0.715821813, 0.7158218125960061	
151,0.715821813,0.723471895,0.715821813,0.717083937,0.715821813,0.715821813, 0.7158218125960061	
156,0.709677419,0.722924307,0.709677419,0.710851339,0.709677419,0.709677419, 0.7096774193548389	
161,0.709677419,0.720272756,0.709677419,0.710957333,0.709677419,0.709677419, 0.7096774193548389	
166,0.725038402,0.727966686,0.725038402,0.725885897,0.725038402,0.725038402, 0.7250384024577573	
171,0.731182796,0.732675752,0.731182796,0.731720398,0.731182796,0.731182796, 0.7311827956989246	
176,0.726574501,0.728245215,0.726574501,0.727162968,0.726574501,0.726574501, 0.7265745007680491	
181,0.721966206,0.721852014,0.721966206,0.721907399,0.721966206,0.721966206, 0.7219662058371735	
186,0.725038402,0.72566472,0.725038402,0.725308698,0.725038402,0.725038402, 0.7250384024577573	
191,0.723502304,0.723072824,0.723502304,0.723260089,0.723502304,0.723502304, 0.7235023041474654	
196,0.726574501,0.725640516,0.726574501,0.725934472,0.726574501,0.726574501, 0.7265745007680491	
201,0.726574501,0.728245215,0.726574501,0.727162968,0.726574501,0.726574501, 0.7265745007680491	
206,0.720430108,0.720671926,0.720430108,0.720544197,0.720430108,0.720430108, 0.7204301075268817	
211,0.725038402,0.725155412,0.725038402,0.72509519,0.725038402,0.725038402, 0.7250384024577573	
216,0.734254992,0.733583417,0.734254992,0.733833607,0.734254992,0.734254992, 0.7342549923195084	
221,0.732718894,0.732306301,0.732718894,0.732484753,0.732718894,0.732718894, 0.7327188940092166	
226,0.732718894,0.732718894,0.732718894,0.732718894,0.732718894,0.732718894, 0.7327188940092166	
231,0.740399386,0.739912377,0.740399386,0.740111869,0.740399386,0.740399386, 0.7403993855606759	
236,0.734254992,0.734368241,0.734254992,0.734309877,0.734254992,0.734254992, 0.7342549923195084	
241,0.734254992,0.733753601,0.734254992,0.733960671,0.734254992,0.734254992, 0.7342549923195084	
246,0.735791091,0.734904937,0.735791091,0.735172636,0.735791091,0.735791091, 0.7357910906298003	
251,0.741935484,0.741215987,0.741935484,0.741462629,0.741935484,0.741935484, 0.7419354838709677	
256,0.740399386,0.739603203,0.740399386,0.739858375,0.740399386,0.740399386, 0.7403993855606759	
261,0.743471582,0.743170144,0.743471582,0.743304966,0.743471582,0.743471582, 0.7434715821812596	
266,0.728110599,0.729303055,0.728110599,0.728567527,0.728110599,0.728110599, 0.728110599078341	
271,0.741935484,0.743550877,0.741935484,0.742490891,0.741935484,0.741935484, 0.7419354838709677	
276,0.740399386,0.740510127,0.740399386,0.740453001,0.740399386,0.740399386, 0.7403993855606759	
281,0.735791091,0.736020677,0.735791091,0.735898911,0.735791091,0.735791091, 0.7357910906298003	
286,0.737327189,0.737439184,0.737327189,0.737381439,0.737327189,0.737327189, 0.7373271889400922	
291,0.735791091,0.735578894,0.735791091,0.735678007,0.735791091,0.735791091, 0.7357910906298003	
296,0.740399386,0.739274819,0.740399386,0.739438593,0.740399386,0.740399386, 0.7403993855606759	
301,0.746543779,0.7454718,0.746543779,0.745605726,0.746543779,0.746543779, 0.7465437788018433	
306,0.740399386,0.739111155,0.740399386,0.738970797,0.740399386,0.740399386, 0.7403993855606759	
311,0.741935484,0.740724954,0.741935484,0.74075387,0.741935484,0.741935484, 0.7419354838709677	
316,0.738863287,0.737770042,0.738863287,0.737970523,0.738863287,0.738863287, 0.7388632872503841	
321,0.737327189,0.736098731,0.737327189,0.73620268,0.737327189,0.737327189, 0.7373271889400922	
326,0.726574501,0.725030989,0.726574501,0.724620093,0.726574501,0.726574501, 0.7265745007680491	
331,0.729646697,0.72848117,0.729646697,0.728722424,0.729646697,0.729646697, 0.7296466973886329	
336,0.729646697,0.728195004,0.729646697,0.728072831,0.729646697,0.729646697, 0.7296466973886329	
341,0.737327189,0.735998077,0.737327189,0.735881694,0.737327189,0.737327189, 0.7373271889400922	
346,0.737327189,0.736385527,0.737327189,0.73664355,0.737327189,0.737327189, 0.7373271889400922	
351,0.734254992,0.733753601,0.734254992,0.733960671,0.734254992,0.734254992, 0.7342549923195084	
356,0.732718894,0.731688378,0.732718894,0.731951913,0.732718894,0.732718894, 0.7327188940092166	
361,0.732718894,0.731962637,0.732718894,0.732229151,0.732718894,0.732718894, 0.7327188940092166	
366,0.734254992,0.734368241,0.734254992,0.734309877,0.734254992,0.734254992, 0.7342549923195084	
371,0.729646697,0.729228475,0.729646697,0.729409865,0.729646697,0.729646697, 0.7296466973886329	
376,0.729646697,0.728878187,0.729646697,0.729151325,0.729646697,0.729646697, 0.7296466973886329	
381,0.723502304,0.722882789,0.723502304,0.723130667,0.723502304,0.723502304, 0.7235023041474654	
386,0.729646697,0.728878187,0.729646697,0.729151325,0.729646697,0.729646697, 0.7296466973886329	
391,0.720430108,0.719801777,0.720430108,0.720054342,0.720430108,0.720430108, 0.7204301075268817	
396,0.723502304,0.722709287,0.723502304,0.722995673,0.723502304,0.723502304, 0.7235023041474654	
401,0.725038402,0.724025201,0.725038402,0.72432278,0.725038402,0.725038402, 0.7250384024577573	
406,0.723502304,0.722709287,0.723502304,0.722995673,0.723502304,0.723502304, 0.7235023041474654	
411,0.721966206,0.721085622,0.721966206,0.72138678,0.721966206,0.721966206, 0.7219662058371735	
416,0.729646697,0.728596291,0.729646697,0.728870901,0.729646697,0.729646697, 0.7296466973886329	
421,0.741935484,0.740866333,0.741935484,0.741053223,0.741935484,0.741935484, 0.7419354838709677	
426,0.738863287,0.737872551,0.738863287,0.738113938,0.738863287,0.738863287, 0.7388632872503841	
431,0.732718894,0.731688378,0.732718894,0.731951913,0.732718894,0.732718894, 0.7327188940092166	
436,0.738863287,0.738131537,0.738863287,0.738384803,0.738863287,0.738863287, 0.7388632872503841	
441,0.741935484,0.741081218,0.741935484,0.741331412,0.741935484,0.741935484, 0.7419354838709677	
446,0.746543779,0.745554429,0.746543779,0.745747519,0.746543779,0.746543779, 0.7465437788018433	
451,0.741935484,0.740786403,0.741935484,0.740906204,0.741935484,0.741935484, 0.7419354838709677	
456,0.743471582,0.74237331,0.743471582,0.74252216,0.743471582,0.743471582, 0.7434715821812596	
461,0.743471582,0.742304904,0.743471582,0.742373377,0.743471582,0.743471582, 0.7434715821812596	
466,0.741935484,0.740964637,0.741935484,0.741194951,0.741935484,0.741935484, 0.7419354838709677	
471,0.738863287,0.737770042,0.738863287,0.737970523,0.738863287,0.738863287, 0.7388632872503841	
476,0.743471582,0.74256569,0.743471582,0.742803935,0.743471582,0.743471582, 0.7434715821812596	
481,0.740399386,0.739366117,0.740399386,0.739583823,0.740399386,0.740399386, 0.7403993855606759	
486,0.737327189,0.736385527,0.737327189,0.73664355,0.737327189,0.737327189, 0.7373271889400922	
491,0.737327189,0.73627196,0.737327189,0.736501974,0.737327189,0.737327189, 0.7373271889400922	
496,0.740399386,0.739366117,0.740399386,0.739583823,0.740399386,0.740399386, 0.7403993855606759	
501,0.738863287,0.737770042,0.738863287,0.737970523,0.738863287,0.738863287, 0.7388632872503841	
506,0.743471582,0.742689466,0.743471582,0.742936974,0.743471582,0.743471582, 0.7434715821812596	
511,0.738863287,0.738131537,0.738863287,0.738384803,0.738863287,0.738863287, 0.7388632872503841	
516,0.746543779,0.745914216,0.746543779,0.746141879,0.746543779,0.746543779, 0.7465437788018433	
521,0.746543779,0.7454718,0.746543779,0.745605726,0.746543779,0.746543779, 0.7465437788018433	
526,0.749615975,0.748648585,0.749615975,0.748829367,0.749615975,0.749615975, 0.7496159754224271	
531,0.751152074,0.750013542,0.751152074,0.749860617,0.751152074,0.751152074, 0.7511520737327188	
536,0.752688172,0.751614165,0.752688172,0.751629423,0.752688172,0.752688172, 0.7526881720430108	
541,0.752688172,0.75159175,0.752688172,0.751004375,0.752688172,0.752688172, 0.7526881720430108	
546,0.748079877,0.746965772,0.748079877,0.746104158,0.748079877,0.748079877, 0.7480798771121352	
551,0.746543779,0.745343441,0.746543779,0.744818149,0.746543779,0.746543779, 0.7465437788018433	
556,0.749615975,0.748467596,0.749615975,0.747911262,0.749615975,0.749615975, 0.7496159754224271	
561,0.748079877,0.746903063,0.748079877,0.746772477,0.748079877,0.748079877, 0.7480798771121352	
566,0.749615975,0.748471067,0.749615975,0.748393687,0.749615975,0.749615975, 0.7496159754224271	
571,0.75422427,0.753189425,0.75422427,0.753244004,0.75422427,0.75422427, 0.7542242703533028	
576,0.752688172,0.751742742,0.752688172,0.751911216,0.752688172,0.752688172, 0.7526881720430108	
581,0.748079877,0.747058914,0.748079877,0.747218622,0.748079877,0.748079877, 0.7480798771121352	
586,0.757296467,0.756290181,0.757296467,0.756328454,0.757296467,0.757296467, 0.7572964669738863	
591,0.757296467,0.756347787,0.757296467,0.756466721,0.757296467,0.757296467, 0.7572964669738863	
596,0.760368664,0.759444077,0.760368664,0.759549421,0.760368664,0.760368664, 0.7603686635944701	
601,0.760368664,0.759444077,0.760368664,0.759549421,0.760368664,0.760368664, 0.7603686635944701	
606,0.755760369,0.754767271,0.755760369,0.754856427,0.755760369,0.755760369, 0.7557603686635945	
611,0.757296467,0.75625913,0.757296467,0.755725158,0.757296467,0.757296467, 0.7572964669738863	
616,0.757296467,0.756234501,0.757296467,0.756036899,0.757296467,0.757296467, 0.7572964669738863	
621,0.755760369,0.754676543,0.755760369,0.754416312,0.755760369,0.755760369, 0.7557603686635945	
626,0.752688172,0.751579015,0.752688172,0.751480881,0.752688172,0.752688172, 0.7526881720430108	
631,0.757296467,0.756252375,0.757296467,0.756185187,0.757296467,0.757296467, 0.7572964669738863	
636,0.755760369,0.754717251,0.755760369,0.754714772,0.755760369,0.755760369, 0.7557603686635945	
641,0.757296467,0.756425071,0.757296467,0.756600013,0.757296467,0.757296467, 0.7572964669738863	
646,0.758832565,0.758016097,0.758832565,0.758204897,0.758832565,0.758832565, 0.7588325652841783	
651,0.757296467,0.756638237,0.757296467,0.756851758,0.757296467,0.757296467, 0.7572964669738863	
656,0.755760369,0.754836898,0.755760369,0.754993064,0.755760369,0.755760369, 0.7557603686635945	
661,0.752688172,0.751835934,0.752688172,0.752044512,0.752688172,0.752688172, 0.7526881720430108														
666,0.75422427,0.753851082,0.75422427,0.754008968,0.75422427,0.75422427,0.75422427
