model,expansion_algo,batch_size,top_n_uncertain,final_expansion_size,classification_algo,accuracy,precision_weighted,recall_weighted,f1_score_weighted,,precision_micro,recall_micro,f1_score_micro
models/ft_unsupervised_N_2.bin,lr,10,1,283,lr,0.737327189,0.736098731,0.737327189,0.73620268,,0.737327189,0.737327189,0.737327189
models/ft_unsupervised_N_2.bin,lr,10,1,283,svm,0.718894009,0.717544027,0.718894009,0.71527304,,0.718894009,0.718894009,0.718894009
models/ft_unsupervised_N_2.bin,lr,10,1,283,knn,0.639016897,0.637043606,0.639016897,0.621371837,,0.639016897,0.639016897,0.639016897
models/ft_unsupervised_N_2.bin,lr,10,2,540,lr,0.743471582,0.744332266,0.743471582,0.74381575,,0.743471582,0.743471582,0.743471582
models/ft_unsupervised_N_2.bin,lr,10,2,540,svm,0.735791091,0.745490705,0.735791091,0.736971556,,0.735791091,0.735791091,0.735791091
models/ft_unsupervised_N_2.bin,lr,10,2,540,knn,0.637480799,0.638150298,0.637480799,0.614510943,,0.637480799,0.637480799,0.637480799
models/ft_unsupervised_N_2.bin,lr,10,5,1311,lr,0.760368664,0.760006734,0.760368664,0.760158744,,0.760368664,0.760368664,0.760368664
models/ft_unsupervised_N_2.bin,lr,10,5,1311,svm,0.75422427,0.75548667,0.75422427,0.754677154,,0.75422427,0.75422427,0.75422427
models/ft_unsupervised_N_2.bin,lr,10,5,1311,knn,0.668202765,0.671479449,0.668202765,0.65172063,,0.668202765,0.668202765,0.668202765
models/ft_unsupervised_N_2.bin,lr,20,1,154,lr,0.746543779,0.745427608,0.746543779,0.74446595,,0.746543779,0.746543779,0.746543779
models/ft_unsupervised_N_2.bin,lr,20,1,154,svm,0.700460829,0.714721355,0.700460829,0.682292815,,0.700460829,0.700460829,0.700460829
models/ft_unsupervised_N_2.bin,lr,20,1,154,knn,0.622119816,0.616395981,0.622119816,0.607845886,,0.622119816,0.622119816,0.622119816
models/ft_unsupervised_N_2.bin,lr,20,2,282,lr,0.738863287,0.739090427,0.738863287,0.738969854,,0.738863287,0.738863287,0.738863287
models/ft_unsupervised_N_2.bin,lr,20,2,282,svm,0.715821813,0.716051606,0.715821813,0.70973982,,0.715821813,0.715821813,0.715821813
models/ft_unsupervised_N_2.bin,lr,20,2,282,knn,0.639016897,0.645258267,0.639016897,0.60936725,,0.639016897,0.639016897,0.639016897
models/ft_unsupervised_N_2.bin,lr,20,5,666,lr,0.723502304,0.722709287,0.723502304,0.722995673,,0.723502304,0.723502304,0.723502304
models/ft_unsupervised_N_2.bin,lr,20,5,666,svm,0.728110599,0.733490727,0.728110599,0.719112233,,0.728110599,0.728110599,0.728110599
models/ft_unsupervised_N_2.bin,lr,20,5,666,knn,0.640552995,0.647660859,0.640552995,0.610645312,,0.640552995,0.640552995,0.640552995
models/ft_unsupervised_N_2.bin,lr,30,1,111,lr,0.685099846,0.694360565,0.685099846,0.66710471,,0.685099846,0.685099846,0.685099846
models/ft_unsupervised_N_2.bin,lr,30,1,111,svm,0.637480799,0.682564636,0.637480799,0.578977706,,0.637480799,0.637480799,0.637480799
models/ft_unsupervised_N_2.bin,lr,30,1,111,knn,0.617511521,0.611158541,0.617511521,0.603845026,,0.617511521,0.617511521,0.617511521
models/ft_unsupervised_N_2.bin,lr,30,2,196,lr,0.706605223,0.704911455,0.706605223,0.70257457,,0.706605223,0.706605223,0.706605223
models/ft_unsupervised_N_2.bin,lr,30,2,196,svm,0.628264209,0.692793228,0.628264209,0.554981226,,0.628264209,0.628264209,0.628264209
models/ft_unsupervised_N_2.bin,lr,30,2,196,knn,0.606758833,0.60618316,0.606758833,0.564913396,,0.606758833,0.606758833,0.606758833
models/ft_unsupervised_N_2.bin,lr,30,5,451,lr,0.732718894,0.733749631,0.732718894,0.733123439,,0.732718894,0.732718894,0.732718894
models/ft_unsupervised_N_2.bin,lr,30,5,451,svm,0.718894009,0.730159775,0.718894009,0.720115558,,0.718894009,0.718894009,0.718894009
models/ft_unsupervised_N_2.bin,lr,30,5,451,knn,0.577572965,0.563785426,0.577572965,0.549634437,,0.577572965,0.577572965,0.577572965
models/ft_unsupervised_N_2.bin,lr,40,1,90,lr,0.697388633,0.701311281,0.697388633,0.685747871,,0.697388633,0.697388633,0.697388633
models/ft_unsupervised_N_2.bin,lr,40,1,90,svm,0.649769585,0.69861511,0.649769585,0.596660643,,0.649769585,0.649769585,0.649769585
