lr , 10 , 1 , lr , 0.7283702213279678
lr , 10 , 1 , svm , 0.7082494969818913
lr , 10 , 2 , lr , 0.7283702213279678
lr , 10 , 2 , svm , 0.7082494969818913
lr , 10 , 5 , lr , 0.7283702213279678
lr , 10 , 5 , svm , 0.7082494969818913
lr , 20 , 1 , lr , 0.7283702213279678
lr , 20 , 1 , svm , 0.7082494969818913
lr , 20 , 2 , lr , 0.7283702213279678
lr , 20 , 2 , svm , 0.7082494969818913
lr , 20 , 5 , lr , 0.7283702213279678
lr , 20 , 5 , svm , 0.7082494969818913
lr , 30 , 1 , lr , 0.7283702213279678
lr , 30 , 1 , svm , 0.7082494969818913
lr , 30 , 2 , lr , 0.7283702213279678
lr , 30 , 2 , svm , 0.7082494969818913
lr , 30 , 5 , lr , 0.7283702213279678
lr , 30 , 5 , svm , 0.7082494969818913
lr , 40 , 1 , lr , 0.7283702213279678
lr , 40 , 1 , svm , 0.7082494969818913
lr , 40 , 2 , lr , 0.7283702213279678
lr , 40 , 2 , svm , 0.7082494969818913
lr , 40 , 5 , lr , 0.7283702213279678
lr , 40 , 5 , svm , 0.7082494969818913
lr , 50 , 1 , lr , 0.7283702213279678
lr , 50 , 1 , svm , 0.7082494969818913
lr , 50 , 2 , lr , 0.7283702213279678
lr , 50 , 2 , svm , 0.7082494969818913
lr , 50 , 5 , lr , 0.7283702213279678
lr , 50 , 5 , svm , 0.7082494969818913
lr , 100 , 1 , lr , 0.7283702213279678
lr , 100 , 1 , svm , 0.7082494969818913
lr , 100 , 2 , lr , 0.7283702213279678
lr , 100 , 2 , svm , 0.7082494969818913
lr , 100 , 5 , lr , 0.7283702213279678
lr , 100 , 5 , svm , 0.7082494969818913
svm , 10 , 1 , lr , 0.7283702213279678
svm , 10 , 1 , svm , 0.7082494969818913
svm , 10 , 2 , lr , 0.7283702213279678
svm , 10 , 2 , svm , 0.7082494969818913
svm , 10 , 5 , lr , 0.7283702213279678
svm , 10 , 5 , svm , 0.7082494969818913
svm , 20 , 1 , lr , 0.7283702213279678
svm , 20 , 1 , svm , 0.7082494969818913
svm , 20 , 2 , lr , 0.7283702213279678
svm , 20 , 2 , svm , 0.7082494969818913
svm , 20 , 5 , lr , 0.7283702213279678
svm , 20 , 5 , svm , 0.7082494969818913
svm , 30 , 1 , lr , 0.7283702213279678
svm , 30 , 1 , svm , 0.7082494969818913
svm , 30 , 2 , lr , 0.7283702213279678
svm , 30 , 2 , svm , 0.7082494969818913
svm , 30 , 5 , lr , 0.7283702213279678
svm , 30 , 5 , svm , 0.7082494969818913
svm , 40 , 1 , lr , 0.7283702213279678
svm , 40 , 1 , svm , 0.7082494969818913
svm , 40 , 2 , lr , 0.7283702213279678
svm , 40 , 2 , svm , 0.7082494969818913
svm , 40 , 5 , lr , 0.7283702213279678
svm , 40 , 5 , svm , 0.7082494969818913
svm , 50 , 1 , lr , 0.7283702213279678
svm , 50 , 1 , svm , 0.7082494969818913
svm , 50 , 2 , lr , 0.7283702213279678
svm , 50 , 2 , svm , 0.7082494969818913
svm , 50 , 5 , lr , 0.7283702213279678
svm , 50 , 5 , svm , 0.7082494969818913
svm , 100 , 1 , lr , 0.7283702213279678
svm , 100 , 1 , svm , 0.7082494969818913
svm , 100 , 2 , lr , 0.7283702213279678
svm , 100 , 2 , svm , 0.7082494969818913
svm , 100 , 5 , lr , 0.7283702213279678
svm , 100 , 5 , svm , 0.7082494969818913
