Seed Sizes,Accuracy,Precision,Recall,F_Score,Precision_mi,Recall_mi,F1_Score_mi
26,0.67281106,0.685148781,0.67281106,0.674173131,0.67281106,0.67281106, 0.6728110599078341	
31,0.688172043,0.702632151,0.688172043,0.689340868,0.688172043,0.688172043, 0.6881720430107527	
36,0.689708141,0.697136871,0.689708141,0.691079198,0.689708141,0.689708141, 0.6897081413210445	
41,0.683563748,0.686104121,0.683563748,0.684422167,0.683563748,0.683563748, 0.6835637480798771	
46,0.683563748,0.684727832,0.683563748,0.684042692,0.683563748,0.683563748, 0.6835637480798771	
51,0.67281106,0.681603269,0.67281106,0.674278452,0.67281106,0.67281106, 0.6728110599078341	
56,0.671274962,0.678232445,0.671274962,0.672707866,0.671274962,0.671274962, 0.6712749615975423	
61,0.677419355,0.684872332,0.677419355,0.678844711,0.677419355,0.677419355, 0.6774193548387096	
66,0.665130568,0.674197419,0.665130568,0.666632097,0.665130568,0.665130568, 0.6651305683563749	
71,0.660522273,0.669862565,0.660522273,0.66204255,0.660522273,0.660522273, 0.6605222734254992	
76,0.677419355,0.686488758,0.677419355,0.678865781,0.677419355,0.677419355, 0.6774193548387096	
81,0.658986175,0.669165926,0.658986175,0.660497916,0.658986175,0.658986175, 0.6589861751152074	
86,0.680491551,0.686441192,0.680491551,0.681827975,0.680491551,0.680491551, 0.6804915514592934	
91,0.692780338,0.699682989,0.692780338,0.694119501,0.692780338,0.692780338, 0.6927803379416283	
96,0.677419355,0.687055608,0.677419355,0.678860621,0.677419355,0.677419355, 0.6774193548387096	
101,0.683563748,0.693206671,0.683563748,0.684977561,0.683563748,0.683563748, 0.6835637480798771	
106,0.689708141,0.69562573,0.689708141,0.691006014,0.689708141,0.689708141, 0.6897081413210445	
111,0.69124424,0.698408531,0.69124424,0.692600036,0.69124424,0.69124424, 0.6912442396313364	
116,0.685099846,0.691769625,0.685099846,0.686460859,0.685099846,0.685099846, 0.685099846390169	
121,0.686635945,0.695707261,0.686635945,0.688041045,0.686635945,0.686635945, 0.6866359447004609	
126,0.694316436,0.702002148,0.694316436,0.695674073,0.694316436,0.694316436, 0.6943164362519201	
131,0.708141321,0.714491882,0.708141321,0.709390583,0.708141321,0.708141321, 0.7081413210445467	
136,0.706605223,0.712221708,0.706605223,0.707816004,0.706605223,0.706605223, 0.706605222734255	
141,0.714285714,0.724578226,0.714285714,0.715552308,0.714285714,0.714285714, 0.7142857142857143	
146,0.711213518,0.718069169,0.711213518,0.712472331,0.711213518,0.711213518, 0.7112135176651304	
151,0.706605223,0.709614955,0.706605223,0.707509533,0.706605223,0.706605223, 0.706605222734255	
156,0.706605223,0.710849173,0.706605223,0.7076881,0.706605223,0.706605223, 0.706605222734255	
161,0.700460829,0.704305544,0.700460829,0.701511381,0.700460829,0.700460829, 0.7004608294930875	
166,0.695852535,0.700809492,0.695852535,0.697047937,0.695852535,0.695852535, 0.695852534562212	
171,0.706605223,0.710011097,0.706605223,0.707574707,0.706605223,0.706605223, 0.706605222734255	
176,0.705069124,0.709104624,0.705069124,0.7061313,0.705069124,0.705069124, 0.7050691244239631	
181,0.711213518,0.714398869,0.711213518,0.712136396,0.711213518,0.711213518, 0.7112135176651304	
186,0.711213518,0.715656722,0.711213518,0.712303823,0.711213518,0.711213518, 0.7112135176651304	
191,0.709677419,0.715282652,0.709677419,0.710875522,0.709677419,0.709677419, 0.7096774193548389	
196,0.709677419,0.715282652,0.709677419,0.710875522,0.709677419,0.709677419, 0.7096774193548389	
201,0.729646697,0.728166627,0.729646697,0.727526414,0.729646697,0.729646697, 0.7296466973886329	
206,0.711213518,0.715656722,0.711213518,0.712303823,0.711213518,0.711213518, 0.7112135176651304	
211,0.721966206,0.725303247,0.721966206,0.722884931,0.721966206,0.721966206, 0.7219662058371735	
216,0.717357911,0.719401413,0.717357911,0.718048185,0.717357911,0.717357911, 0.7173579109062981	
221,0.715821813,0.718411147,0.715821813,0.716629097,0.715821813,0.715821813, 0.7158218125960061	
226,0.723502304,0.725521657,0.723502304,0.724177572,0.723502304,0.723502304, 0.7235023041474654	
231,0.714285714,0.717069597,0.714285714,0.715132548,0.714285714,0.714285714, 0.7142857142857143	
236,0.712749616,0.714987623,0.712749616,0.7134907,0.712749616,0.712749616, 0.7127496159754224	
241,0.715821813,0.717367122,0.715821813,0.716390135,0.715821813,0.715821813, 0.7158218125960061	
246,0.718894009,0.719814717,0.718894009,0.719271151,0.718894009,0.718894009, 0.71889400921659	
251,0.729646697,0.730132528,0.729646697,0.729861988,0.729646697,0.729646697, 0.7296466973886329	
256,0.726574501,0.727621906,0.726574501,0.726988345,0.726574501,0.726574501, 0.7265745007680491	
261,0.734254992,0.735138185,0.734254992,0.734611525,0.734254992,0.734254992, 0.7342549923195084	
266,0.729646697,0.73098764,0.729646697,0.730144869,0.729646697,0.729646697, 0.7296466973886329	
271,0.728110599,0.728470436,0.728110599,0.728275007,0.728110599,0.728110599, 0.728110599078341	
276,0.729646697,0.731306347,0.729646697,0.730228553,0.729646697,0.729646697, 0.7296466973886329	
281,0.728110599,0.728731255,0.728110599,0.728377875,0.728110599,0.728110599, 0.728110599078341	
286,0.721966206,0.721635862,0.721966206,0.721785621,0.721966206,0.721966206, 0.7219662058371735	
291,0.715821813,0.71548321,0.715821813,0.715637237,0.715821813,0.715821813, 0.7158218125960061	
296,0.725038402,0.724515437,0.725038402,0.724733873,0.725038402,0.725038402, 0.7250384024577573	
301,0.720430108,0.719801777,0.720430108,0.720054342,0.720430108,0.720430108, 0.7204301075268817	
306,0.731182796,0.731297298,0.731182796,0.731238314,0.731182796,0.731182796, 0.7311827956989246	
311,0.725038402,0.724515437,0.725038402,0.724733873,0.725038402,0.725038402, 0.7250384024577573	
316,0.732718894,0.732306301,0.732718894,0.732484753,0.732718894,0.732718894, 0.7327188940092166	
321,0.731182796,0.731072549,0.731182796,0.731125938,0.731182796,0.731182796, 0.7311827956989246	
326,0.731182796,0.731539054,0.731182796,0.731345346,0.731182796,0.731182796, 0.7311827956989246	
331,0.732718894,0.733749631,0.732718894,0.733123439,0.732718894,0.732718894, 0.7327188940092166	
336,0.738863287,0.738863287,0.738863287,0.738863287,0.738863287,0.738863287, 0.7388632872503841	
341,0.732718894,0.732718894,0.732718894,0.732718894,0.732718894,0.732718894, 0.7327188940092166	
346,0.737327189,0.737219572,0.737327189,0.737271631,0.737327189,0.737327189, 0.7373271889400922	
351,0.728110599,0.727788514,0.728110599,0.727934005,0.728110599,0.728110599, 0.728110599078341	
356,0.732718894,0.732306301,0.732718894,0.732484753,0.732718894,0.732718894, 0.7327188940092166	
361,0.731182796,0.731072549,0.731182796,0.731125938,0.731182796,0.731182796, 0.7311827956989246	
366,0.731182796,0.73086484,0.731182796,0.731008198,0.731182796,0.731182796, 0.7311827956989246	
371,0.735791091,0.735047087,0.735791091,0.735306977,0.735791091,0.735791091, 0.7357910906298003	
376,0.735791091,0.736020677,0.735791091,0.735898911,0.735791091,0.735791091, 0.7357910906298003	
381,0.729646697,0.729429118,0.729646697,0.729530984,0.729646697,0.729646697, 0.7296466973886329	
386,0.735791091,0.735047087,0.735791091,0.735306977,0.735791091,0.735791091, 0.7357910906298003	
391,0.728110599,0.727999037,0.728110599,0.728053092,0.728110599,0.728110599, 0.728110599078341	
396,0.731182796,0.730344412,0.731182796,0.730622577,0.731182796,0.731182796, 0.7311827956989246	
401,0.721966206,0.731960386,0.721966206,0.72320425,0.721966206,0.721966206, 0.7219662058371735	
406,0.738863287,0.738287851,0.738863287,0.738512297,0.738863287,0.738863287, 0.7388632872503841	
411,0.721966206,0.722333199,0.721966206,0.722134329,0.721966206,0.721966206, 0.7219662058371735	
416,0.738863287,0.738461953,0.738863287,0.738634529,0.738863287,0.738863287, 0.7388632872503841	
421,0.735791091,0.735578894,0.735791091,0.735678007,0.735791091,0.735791091, 0.7357910906298003	
426,0.729646697,0.729429118,0.729646697,0.729530984,0.729646697,0.729646697, 0.7296466973886329	
431,0.735791091,0.736531898,0.735791091,0.73609884,0.735791091,0.735791091, 0.7357910906298003	
436,0.735791091,0.736267621,0.735791091,0.736001488,0.735791091,0.735791091, 0.7357910906298003	
441,0.74500768,0.745229928,0.74500768,0.74511174,0.74500768,0.74500768, 0.7450076804915513	
446,0.748079877,0.748079877,0.748079877,0.748079877,0.748079877,0.748079877, 0.7480798771121352	
451,0.737327189,0.73767629,0.737327189,0.737486024,0.737327189,0.737327189, 0.7373271889400922	
456,0.741935484,0.742663068,0.741935484,0.742236077,0.741935484,0.741935484, 0.7419354838709677	
461,0.741935484,0.742160177,0.741935484,0.742040797,0.741935484,0.741935484, 0.7419354838709677	
466,0.741935484,0.742663068,0.741935484,0.742236077,0.741935484,0.741935484, 0.7419354838709677	
471,0.741935484,0.742402714,0.741935484,0.742140989,0.741935484,0.741935484, 0.7419354838709677	
476,0.74500768,0.745728652,0.74500768,0.745304695,0.74500768,0.74500768, 0.7450076804915513	
481,0.752688172,0.75326354,0.752688172,0.752931287,0.752688172,0.752688172, 0.7526881720430108	
486,0.746543779,0.747984382,0.746543779,0.747050661,0.746543779,0.746543779, 0.7465437788018433	
491,0.731182796,0.731539054,0.731182796,0.731345346,0.731182796,0.731182796, 0.7311827956989246	
496,0.740399386,0.740744908,0.740399386,0.740556363,0.740399386,0.740399386, 0.7403993855606759	
501,0.743471582,0.744332266,0.743471582,0.74381575,0.743471582,0.743471582, 0.7434715821812596	
506,0.737327189,0.73767629,0.737327189,0.737486024,0.737327189,0.737327189, 0.7373271889400922	
511,0.735791091,0.735384127,0.735791091,0.735559641,0.735791091,0.735791091, 0.7357910906298003	
516,0.74500768,0.745229928,0.74500768,0.74511174,0.74500768,0.74500768, 0.7450076804915513	
521,0.743471582,0.743170144,0.743471582,0.743304966,0.743471582,0.743471582, 0.7434715821812596	
526,0.746543779,0.746652012,0.746543779,0.746596125,0.746543779,0.746543779, 0.7465437788018433	
531,0.740399386,0.740997398,0.740399386,0.740654581,0.740399386,0.740399386, 0.7403993855606759	
536,0.74500768,0.744617604,0.74500768,0.744784304,0.74500768,0.74500768, 0.7450076804915513	
541,0.740399386,0.740093818,0.740399386,0.740230774,0.740399386,0.740399386, 0.7403993855606759	
546,0.738863287,0.738461953,0.738863287,0.738634529,0.738863287,0.738863287, 0.7388632872503841	
551,0.737327189,0.73767629,0.737327189,0.737486024,0.737327189,0.737327189, 0.7373271889400922	
556,0.740399386,0.741555418,0.740399386,0.740835661,0.740399386,0.740399386, 0.7403993855606759	
561,0.735791091,0.736531898,0.735791091,0.73609884,0.735791091,0.735791091, 0.7357910906298003	
566,0.74500768,0.745470261,0.74500768,0.745210739,0.74500768,0.74500768, 0.7450076804915513	
571,0.738863287,0.738863287,0.738863287,0.738863287,0.738863287,0.738863287, 0.7388632872503841	
576,0.741935484,0.743237155,0.741935484,0.742411011,0.741935484,0.741935484, 0.7419354838709677	
581,0.735791091,0.736020677,0.735791091,0.735898911,0.735791091,0.735791091, 0.7357910906298003	
586,0.740399386,0.740293083,0.740399386,0.740344478,0.740399386,0.740399386, 0.7403993855606759	
591,0.746543779,0.746246469,0.746543779,0.746379158,0.746543779,0.746543779, 0.7465437788018433	
596,0.749615975,0.749322795,0.749615975,0.74945335,0.749615975,0.749615975, 0.7496159754224271	
601,0.734254992,0.739288525,0.734254992,0.735318132,0.734254992,0.734254992, 0.7342549923195084	
606,0.743471582,0.742991765,0.743471582,0.743187468,0.743471582,0.743471582, 0.7434715821812596	
611,0.749615975,0.749950763,0.749615975,0.749767379,0.749615975,0.749615975, 0.7496159754224271	
616,0.741935484,0.741368864,0.741935484,0.741588623,0.741935484,0.741935484, 0.7419354838709677	
621,0.748079877,0.747530889,0.748079877,0.747741275,0.748079877,0.748079877, 0.7480798771121352	
626,0.748079877,0.747257499,0.748079877,0.747490188,0.748079877,0.748079877, 0.7480798771121352	
631,0.748079877,0.747257499,0.748079877,0.747490188,0.748079877,0.748079877, 0.7480798771121352	
636,0.741935484,0.740786403,0.741935484,0.740906204,0.741935484,0.741935484, 0.7419354838709677	
641,0.740399386,0.739748817,0.740399386,0.739987743,0.740399386,0.740399386, 0.7403993855606759	
646,0.749615975,0.748996916,0.749615975,0.749218948,0.749615975,0.749615975, 0.7496159754224271	
651,0.748079877,0.747257499,0.748079877,0.747490188,0.748079877,0.748079877, 0.7480798771121352	
656,0.743471582,0.743170144,0.743471582,0.743304966,0.743471582,0.743471582, 0.7434715821812596	
661,0.748079877,0.747384887,0.748079877,0.74761828,0.748079877,0.748079877, 0.7480798771121352	
666,0.743471582,0.743366595,0.743471582,0.743417324,0.743471582,0.743471582,0.743471582
