Seed Sizes,Accuracy,Precision,Recall,F_Score,Precision_mi,Recall_mi,F1_Score_mi
26,0.606758833,0.62352181,0.606758833,0.541983136,0.606758833,0.606758833, 0.6067588325652842	
31,0.617511521,0.61571701,0.617511521,0.587699099,0.617511521,0.617511521, 0.6175115207373272	
36,0.602150538,0.617559758,0.602150538,0.53320344,0.602150538,0.602150538, 0.6021505376344086	
41,0.586789555,0.606830042,0.586789555,0.48911391,0.586789555,0.586789555, 0.5867895545314901	
46,0.591397849,0.603877013,0.591397849,0.509263846,0.591397849,0.591397849, 0.5913978494623656	
51,0.592933948,0.608571847,0.592933948,0.510311246,0.592933948,0.592933948, 0.5929339477726574	
56,0.591397849,0.617879878,0.591397849,0.497497005,0.591397849,0.591397849, 0.5913978494623656	
61,0.592933948,0.61876094,0.592933948,0.502002068,0.592933948,0.592933948, 0.5929339477726574	
66,0.597542243,0.631013919,0.597542243,0.50848909,0.597542243,0.597542243, 0.5975422427035331	
71,0.609831029,0.608741312,0.609831029,0.572101705,0.609831029,0.609831029, 0.6098310291858678	
76,0.602150538,0.600461747,0.602150538,0.557278352,0.602150538,0.602150538, 0.6021505376344086	
81,0.606758833,0.603592022,0.606758833,0.570556279,0.606758833,0.606758833, 0.6067588325652842	
86,0.642089094,0.643628812,0.642089094,0.619737046,0.642089094,0.642089094, 0.642089093701997	
91,0.671274962,0.670747901,0.671274962,0.660182177,0.671274962,0.671274962, 0.6712749615975423	
96,0.655913978,0.656269615,0.655913978,0.639900981,0.655913978,0.655913978, 0.6559139784946236	
101,0.652841782,0.652366087,0.652841782,0.63721614,0.652841782,0.652841782, 0.65284178187404	
106,0.662058372,0.663821975,0.662058372,0.64580583,0.662058372,0.662058372, 0.6620583717357911	
111,0.660522273,0.661426203,0.660522273,0.644984189,0.660522273,0.660522273, 0.6605222734254992	
116,0.662058372,0.66425946,0.662058372,0.645271012,0.662058372,0.662058372, 0.6620583717357911	
121,0.677419355,0.67560404,0.677419355,0.669645242,0.677419355,0.677419355, 0.6774193548387096	
126,0.695852535,0.693701528,0.695852535,0.693467215,0.695852535,0.695852535, 0.695852534562212	
131,0.694316436,0.693124386,0.694316436,0.693520856,0.694316436,0.694316436, 0.6943164362519201	
136,0.685099846,0.686749863,0.685099846,0.685729609,0.685099846,0.685099846, 0.685099846390169	
141,0.688172043,0.692496719,0.688172043,0.689322954,0.688172043,0.688172043, 0.6881720430107527	
146,0.675883257,0.677911559,0.675883257,0.676628611,0.675883257,0.675883257, 0.6758832565284179	
151,0.686635945,0.684191181,0.686635945,0.683722923,0.686635945,0.686635945, 0.6866359447004609	
156,0.694316436,0.692163845,0.694316436,0.69202607,0.694316436,0.694316436, 0.6943164362519201	
161,0.708141321,0.706807135,0.708141321,0.707143526,0.708141321,0.708141321, 0.7081413210445467	
166,0.705069124,0.703068596,0.705069124,0.702327457,0.705069124,0.705069124, 0.7050691244239631	
171,0.715821813,0.714755406,0.715821813,0.711411867,0.715821813,0.715821813, 0.7158218125960061	
176,0.715821813,0.714135442,0.715821813,0.712854362,0.715821813,0.715821813, 0.7158218125960061	
181,0.711213518,0.712181377,0.711213518,0.703930241,0.711213518,0.711213518, 0.7112135176651304	
186,0.718894009,0.718334431,0.718894009,0.714006079,0.718894009,0.718894009, 0.71889400921659	
191,0.721966206,0.720356454,0.721966206,0.719484857,0.721966206,0.721966206, 0.7219662058371735	
196,0.717357911,0.7158138,0.717357911,0.714068766,0.717357911,0.717357911, 0.7173579109062981	
201,0.721966206,0.72033482,0.721966206,0.719883008,0.721966206,0.721966206, 0.7219662058371735	
206,0.721966206,0.721353353,0.721966206,0.717394791,0.721966206,0.721966206, 0.7219662058371735	
