comment,label
"People are scared but think if msp as a concept is not removed altogether, and allowed to remain, while giving farmers unlimited, unending choice between apmc and industrialists (it should not be like ""ok but you said you'll go with reliance, so you cant come back to apmc because your deal didnt work out"") there shouldn't be a problem at all.",1
That's the reason everyone has food on their tables. Is this the way to treat these innocent farmers?,1
" When Modi was about 15 years old, India's had fought and won the second war with Pakistan in 1965.",1
"Dirty people all are Mandis , not farmers , they must be punished and jailed",0
There are much advantages with these laws but the farmers does not have the belief on government but they can't judge the law before it comes into act,0
Full support to our farmers ,1
If you call this a Farmers protest how many farmers are from other states other than Punjab ? ,0
"We BJP supporters must realize that this was more of a national/internal security issue than political. Although this move is bad for the nation's progress, lets just back modi for now.",0
"What will you profit by winning the whole world at the loss of your soul. India Today stop licking out of the hands of Modi's, Yogis, Baba's n Thakurs. UP is not of their to continue with might is right rule. Stand for the truth at least once",1
"Where was Anna Hazare  during the farmers struggle? He was not seen or heard around. Hiding, hibernation? Afraid of Modi?",0
The same as in Europe ... NO FARMERS = NO FOOD,1
"In nakli kisano ki asliyaat dikhane ke liye Modiji ne yeh krishi kanoon wapas liye hain.  Hone dijiyee , aur tez Kisaan andolan. Koi fark nahi padta. To show the real face of these so called farmer's agitation, Modiji has withdrawn the extremely good agriculture laws. In one single master stroke, Modi ji has taken out the wind from the drama that the Congress/SP/TMC were playing, in the name of farmers. With these reforms our country's farming would have been modernized, market-oriented and highly efficient. This would have meant our farmers would have been prosperous just like in the West.",0
Farmers are great you can not Stop them modi,1
BJP government's Focus is on the Election. But its a big day for the poor farmers of India....,1
Bloody politically motivated move. Only Punjab farmers have a problem and are marching like idiots in huge numbers at the time of a pandemic.,0
"Blatant application of Gujarat model by sujata when she says that modi need not condemn the lakheempur incident ,  w.r.t. 3 bjp workers killed ,  but priyanka gandhi must do the same. ",1
"Also its not several states its only 2 states with the richest farming communities creating the chaos, India is not Punjab Haryana only, farmers are not in Punjab and Haryana alone . So please don't project a protest by farmers of 2 states as representative of whole India . The farming community of MH ,MP ,UP and the rest are sufficiently happy for this bill. If you own a farm you'll know the difference pre and post farmer bill era.",0
Major success for big farmers (which really r not farmers) and a  big failure for Govt..and their dream tO implement these reforms.,0
"Most of the issues which have been addressed in the video ,govt have already made decision that they will change 10 things in this law and most of the things have been covered what the farmers want but still they are forcing the govt to take the 3 laws fully back. Scoopwhoop should do proper investigation and then put the video out in public.",0
Isn't it funny to see Ex CM of Punjab Capt. Amrinder Ji raising the security concerns now? When he was CM what was he doing then? Wasn't  Security of the state  his duty? Why didn't he ensure that Punjab's borders with the enemy nation Pakistan was under proper surveillance with the help of Central agencies? All this dramabazi is to fool the people and score brownie points before the upcoming elections....,0
"I want the government to pass a law that when people like me take up consultancy to educate farmers, the farmers should pay me a minimum support price. There should be no constraint on what subject I advise them on, or its utility. They can not deny business to me. It must be guaranteed by the farmers.",1
"WHY ARE THE MEDIA GIVING SO MUCH IMPORTANCE TO RAKESH TIKIAT, WHO IS HE.",0
From today onwards any news of farmers sucide will not pain me.They themselves are responsible for that.,0
Different face i see i trust farmers but some others create violence stop pls  ,0
"Hi... Respected Arvind ji....wtever U said & its true because we Indians knew that these BJP people can go to any level for kursi & commision.....They are forcing  these farmers bill to demolish the APMC system & bring the farmers literaly on road.... They are so arrogant that now they consider farmers & APMC Merchants as if their ememies. because they are interested in the commission & corruption with the selected corporates......... in fact they are behaving like this with all Indians....BJP lost public faith.....because this govt. forced Demonitization, GST, Farmers Bill and so many other bills just for their ego.... They have nothing to do with peoples problems & betterment of Nation.......they say that congress ne 70 saal me desh ke khazane me chori ki......ya its true...but  BJP ne to 6 saal me hi desh ko barbaad kar diya.....congress agar chor thi to BJP  Daku hai.....so people are looking to AAP now.....so U should take lead to captivate this oppotunity to bring AAP ",0
"Just trash the bills and start working with the farmers ! Why is the Govt so focused in imposing those bills? When the farmers are protesting and saying they don't need it??  Those bills were not discussed properly and were made as law. What nonsense was that ? That's the same happening with every BJP reform which is destroying country""s economy & unity. And after the poor farmers started agitation now the Govt is suggesting ammendmends to the bills. So where is the trust and what were the Govt motives  imposing those bills in the first place?? Just trash those bills first and then talk. Why is the Govt not putting on the listening ears ? This govt is supposed to be for the people right ? I guess its not yet dictatorship here  TRASH the BILLS !!",1
"Instead of blaming the Farmers of our country every one know who is responsible for all the drama ? Since last 60 days the world have acknowledge how those farmers been betrayed by the Godi media, Modi govt and our so called Supreme supreme court of India ? 2+2  people = democracy ? Or rest of all the people is ? Jai hind, jai jawan jai kisaan.",1
"It is a matter of Investigation & grave concern that Congress party , AAP, Kisaan Neta- Unions & NDTV received how much money from China/ Pakistan to keep alive this so called Kisan Andolan against Indian State.",0
What an good reply to godi media.,1
Best vedio on farmers protest. Nice explanation sir ji thanks sir,1
"""Listen to the farmers carefully before you give them any advice"" - M.S. Swaminathan (India's leading Agricultural Scientist).",1
Get ready for all the BJP and Modi fanatics to go delusional in the comments,1
"Simple Dr Watson. Win win for the BJP. The party (a win with Amrinder, exit from Punjab politics - Congress, AAP and Akali in one swell swoop) in Punjab is more important now. Old wine can be served in new bottles along with the farmers later on. Just saying.. not politics but plain logic.",0
Politics may be different we may like or dislike the government but in issues of farmers and army people shudnt play cheap politics and we shudnt be misguided,1
"What they should be called, Covid violators or Covid idiots?Wrong is always wrong, whether its done by PM or done by farmers.",0
Aaj tractor Aur kisan Road par Hain ,1
"The assumption behind freeing the farmer from the clutches of nexus, is that freedom to trade, allowing hoarding and contract farming will enable better price discovery, which is doubtful or flawed. But what SG forgets is that the new middleman will be the big corporations which will setup new clutches for the farmer. So its not a watershed moment of reform, rather a watershed moment of transfer of colonization from nexus of buyers, traders and consumers to nexus of big corporations. Farmers will never be able to free themselves. But if this will not save the agriculture sector, nothing else will. This will only push more people out of agriculture in long run and help formalize our economic structure like the rest of the world. Ugly but true way to detox the agri sector. The intent of the government is right.",0
"Modi wants Bharat to be a Hindu Estate: So let it be. Let Khalistan come into being, let Kashmir come into being , let Asam come into being; and let Nagaland come into being: What is left over is Modi's Hindu Veresh: Enjoy. What is the problem with that. Modi is a Pakistani Agent: He has more sympathy with the late mother of Nawaz Sharif than those 140 Farmers died because of the severe weather sitting in the Andolan. Shame of this type of treatment. Farmers are Andata, they are not Atanwad: But Modi has treated them as terrorist. Modi must be removed from the power and must be trialed to get a sentence of death or let Bharat be divided into 5 parts. That is the end of this RSS Terrorist hijacked Bharat and created a situation of hatred and marginalization: against the policies of Nahro, and Ghandi. This is the start of the movement of Khalistan. Now it is out of control. Jai Kisan; Jai Jawan: Jai Khalistan: is what I have been hearing from the participents of this rally.",1
"MSP is highest selling price very true. If the farmer is unable to sell his produce to FCI , he has to sell it to a local trader who offers a lesser price, no one offers a price higher in villages.",0
"The police and government has been polarizing farmers protest,",1
police who is talking about covid restrictions how did they allow election rallies in bihar and how are they assembling there in large numbers to restrict farmers ...,
"Acc. To Indian government, this law is necessary for farmers whereas farmers themselves don't want this law. Anyway, this isn't first time that government is doing something senseless. Their beloved cows which shouldn't be killed (I agree too) are dying on road accidents and by eating plastic, atleast should have done something to help those cows.",
We are farmers ,
Love from Kissans more called by media ( Khalistanis ) ,
"We are extremely thankful to News Laundry for the nice & clear presentation. Your  talk makes one to get a better understanding of the working system there. Now from what the Govt. says Modi expects everyone to have explicit faith & trust in him since he alone has the best of intentions for the farmers, thats why he has brought these new farm Laws. Okay now if what he means what he says why was the tearing hurry to pass it in the parliament. All the people know how Modi meant and done with the Demonetisation law and GST laws. So after seeing all these affects; how does he expect  the nation to now fully place their full trust in him. Everything  he does will become suspicious. Apart from Demonetisation/GST, everyone knows   how many great Institutions are getting privatised and All Gujarati Corporates  get the benefit. And the list goes on and on  Yet the PM wants to nation to give him our full Trust. Tragedy for the Indians. Jai Hind !",
"If the laws were so beneficial for the farmers, then why were these not discussed with the farmers- who are the all-important stakeholders in this matter- before passing them in the parliament, which process again was carried out in an absolutely undemocratic manner. What the government is claiming now is all humbug.",
Thnx for giving true analyses on this topic TV media has been sold to Modi government,
Lallantop is real media of India.... Love for Lallantop team,
"I didn't see any farmers in that ""rally "" ..all I saw were goons...",
"Modiji being PM he has asked forgiveness...This jahil  tikket group will not stop until they get focus and election tickets... This is the most expensive agitation with ac, good ghee food, accomodation and the sponsorers do not want to stop this agitation. .... If these people do not leave our court must intervine and kick this rich jahil farmers out out of our delhi border.... It's enough",
"These are not farmer's... These are rioters... Pls dont call them as farmers to shame original farmer's. All farmer's leaders are responsible to this incident and tbey all should get punished, best to send them jail",
"Could you interview farmers from other states (like Maharashtra, Andhra, etc) ",
"Why Trudeau so engaged about India. He should solve his own problems. India is fast changing in agriculture industries so giving opportunaties to farmers to be more industrialised. They are a lot of other countries with human rights violation   issues and Canada keeping quiet, go and stand fight for them.",
"Goverment is not removing APMC, the Farmers can still go to the mandis",
Repeal the farm laws and stop catering to billionaire corporations.,
"The people who think that farmers get freebies from the government should try shaking hands with them, they are rough and tough from the toil ! It is physically challenging work, in the hot Sun, far more challenging than the most intensive HIIT exercise programs in air conditioned gyms! There is no relief mentally either. They risk their lives, one of my relatives died due to snake bite while she was working in the farm. Farms are away from the village and the city, even medical aid is not available at hand easily . So it is risky business I am disappointed by the way general public dont care and neither does the government ! Today no farmer wants his son or son-in-law to be a farmer ! Young boys who are farmers dont get brides! The farmers only want a better life for their children. For their future is dark This is just sad !",
"Am farmer trader exporter from Maharashtra, this is very revolutionary move, farmers have to unite and find a stable ground, more then70% of farmer holds land less then 1.5 acre,(40000 square feet).",
Farmers missed a golden opportunity.,
"Too many masterstrokewadis in the comments sections. They have inputs about why Modi takes such decisions, which even Modi doesn't has! They are such a fool that they can't even criticise their beloved leader! And all this, when nobody's asking them not to vote for BJP!",
this law is already impliment in behar but  not benefits for formers so farmers of punjab take right step,
Modis attitude towards farmers is horrible .........in the coming elections indian people will show you the door out..............,
There is MSP on most crops but farmers can only sell 2 crops on MSP right now. ,
every afghan who iz against the rules of talibans should immediately leave afghanistan........... it will be better for his/her rest of life in longer run..,
"No body has guts to stop subsidy given to these plunderers called farmers, why the farmers who earn lecks and lacks ,move even in  cars ,their children study in prestigious institutions in india and abroad  ,why they are exempted from paying income tax ,why do millionaire farmers get loans later on to vaive the interest and some times principal as well,whe do the electricity free ,get seeds, fertilizer pesticides at subsidised rates ,why why ,can any one answer, these farmers especially those having land holdings more than five acres are curse to nation,they are robbers,looters ,see Takiye moving in luxurious car and other farmers as well ,this is blackmailing, looting nothing else , political parties never take action against these traitors,",
"It is just a matter of time. BJP has already lost Punjab, Haryana, Uttarakhand and parts of UP. People do not trust BJP at all here.",
The main problem of our farmer's are insufficient rate of their products and have limited option for marketing.,
So happy for our farmers. The first step to a big victory accomplished. Kudos to their brave resilience. And also true respect from the heart to our farmers who died protesting the 3 controversial laws. Salute to them. Kisan ekta zindabad ,
Can experts here tell me point wise the benefits of the 3 laws for farmers and also address the apprehensions of the farmers regarding these laws ?????????,
BJP gang will called them anti National  and chargesheet will prepared under upa  this is the only bitter truth remain in india no democratic right no freedom ony modi ka gunda raj ,
"To save india Modi ko nahi Ambani, Adani, Baba ramdev ka products ko band karo boycott each and every thing then see the magic public power. Gandhiji ka rasta.",
Massive respect to everyone supporting farmers.,
Without farmers no food .,
