seed_tokenized,label
always with our farmer they be fight for everyone protesting against this fascist government we will win this fight,0
i m with farmer they fee u,0
i be proud of my farmer congratulation,0
plz implement 3 law for hindu farmer,1
this bill will be definitely bring some change a we here know how our apmc hold by politician and middleman who manipulate the price accord to their benefit,1
pm modi when farmer no need three law why you make these law now you say it be optional,0
such bill be already implement in america and european country there be no such good result for farmer in those country after these bill debt on farmer increase and sucide rate in america get increased,0
well say today i saw many video of famers protest and i be literally cry after see them that they be protest camp in such a low temperature when farmer do not want these law then why government have pass these law and even up cm be say that it be all the work of oppositi,0
trader or corporate both be come in between farmer difference be corporate will fix rate while open market will enhance farmer trade skill freedom of sell where wish to be the best bill my product my choice my dear sorry but ur research have no strong enough,1
stop call indian farmer it only punjab only punjabi farmer,1
we be with farmer who be feed more than 100 crore citizen and export food grain to many country,0
3 will drive up investment in supply chain eg investment in cold storage 35 40 wastage due to lack of storage facility and cost around 35000 cr to farmer,1
i have a question if msp be still regulate in apmcs then why do not the farmer just sell their produce to the govt whenever they be unsatisfied with the corporate offer in other word be the protest about ensure regulation in the entire market ex by add msp an issue of communism,1
the farmer ask to repeal these law completely be not go to help the farm community in india they should have ask for proper change in area of concern,1
im a blessed punjaban bear in sikh family massive respect to our farmer my head bow to them their struggle,0
witness great farmer protest ever in the world,0
this video be not neutral you be a farmer supporter look at what modi ji say he be so humble and compose,1
beautifull great work farmer,0
huge respect for both farmer and the channel if you dont let the world know what be happen their voice will be mute by political clown i know that be part of fisherman be community,0
2 accord to farmer produce trade and commerce bill aka bill 3 private institute be allow to hoard and store farm produce even if market price increase goverment can not do anything until 100 increase per year and only after that government can intervene to release the stored product,1
in past when india be use to democratic any protest against govt policy be never sideline a anti india protest in 2014 everything change when modi come to power,0
try to live with farmer do not live with new law the new law become a hitter of farmer back bear,0
relax police be highly professional and train they practice these situation in kashmir and they will handle this situation pathetic indian ruler like modi ruin indian dream,0
lol indian farmer protest not even one single indian flag,1
salute to the all farmer,0
these be not farmer they be middle men they only want disruption,1
