label,comment
0, sarkar apki aankhon me dhool jhauk sakti he meri aankhon me nahi  best
0,"#modi ko gali do ... modi ko gali do . modi ko gali do ...,"
0,"25 ppl died in this protest , yogi is responsible for it"
0,"@a . k arya bjp mai kahi saare mla par rape charges h , agar"
0,"@debadatta giri i watch mostly ndtv , and assamese news .. bcoz others are bought"
0,"@r am idiots voted modi ... "" the chai wala "" who has only knowledge"
0,"aabe toa tu bolna pm ko bandh kare yeh saab , caa vapis lele"
0,"aap se koi puchhe aap aapke pitaji ki औलाद हो sabit karo , aap ka"
0,"aap us gunde ko yogi maat bolo , ye apman hai yougion ke .. ye"
0,"abp , zee tv ajj tak godi media always trying to save bjp"
0,"afghanistan kb alag hua h desh india s , 14 ,, 21 ,, 25 sala"
0,"after 10 days of internet shut down in assam , every indian should know that"
0,"after seeing all why bloody amit shah modi are silent , if nrc is in"
0,"agar government kuch karna chaahti h , sabko bahot problem ho raha h , pakistan"
0,"aise hi jute modi , shah , yogi ke muh pe pade to maza aa"
0,"allah nisbo naboot karde bjp ki party ko , first modi or amit shah ko"
0,"am muslim so am against caa and nrc , that's why he is here ."
0,"apnake to dekho , kahaani bahut door tak jayegi , modi ki satta dagmagayegi !!"
0,"aur jo 30 log beghuna the jara unke bare me bhi sunao godi media ,"
0,"bakwas aap ne kisko vote kia tha sabko pata he , i support caa and"
0,"bhai ek bar caa+nrc , ek sath krk dekho .... keval foreigners ke liye hai"
0,"bhai muslim ko target kiya ja raha hai , 15 lakh muslim ka nam nahi"
0,"big point is it is against constitution , and it values , so automatically it"
0,"bjp , agp , congress , aiudfot vot bag bag hoi akkow abar bjp sarkar"
0,"bjp , rss hatao desh bachao . sanvidhaan bachao desh bachao ."
0,"bjp go back , aasu zindabad ."
0,"bjp har cheez m hadbadi m hadbadi kar deti h . noteban , gst ,"
0,"bjp is super minded , agar ambedkar hote to wo bhi har man lete ,"
0,"bjp ko vote dene walo , kuch too shrm karo saalo ..."
0,"bol tha na desh divide hoga ... ..., after bjp in power 😆😆 , ye"
0,"boycott = all product ambani , adani , reliance , jio , patanjali , evm"
0,"boycott cab bill , nrc , kala kanoon"
0,"caa , npr , ncir sab golmal hai jalebi hai"
0,"caa , npr , ncr and bjp हमें नहीं चाहिए।"
0,"caa supporter is very biased , he is modi bhakt"
0,"corona virus ka to ilaj hai magar nrc , caa , npr ka koi ilaj"
0,"crap , even if after nrc people are excluded , caa wont bring back communities"
0,"desh sanvidhan se chale ga na ki tadipaar amit shah or modi se jay ,"
0,"dharm je aadhar par caa laya gya hai ye kiyo nahi batata , caa bhartiye"
0,"don't worry brother 2019 will not be for bjp a , it will be at"
0,"even if ur from pakistan , but please pray for us we can't stand our"
0,"every indian against nrc , npr , caa"
0,"first bjp blind bhakts doesnt understand caa nrc ... they think adhar card , voter"
0,"for bjp education hindu and muslim , for bjp job mla and mp buying ,"
0,"galat bat hai didi hindu , muslim bhai bhai ."
0,"godi media , godi mediabjp media , bjp media"
0,"godi media , mam rubika , u don't want to understand ,"
0,"h.m. wants people of india should "" only "" read caa not with nrc ."
0,"haa , virodh hona chahiye na sirf caa nrc npr ka evm ka bhi virodh"
0,"haar hogi bjp ki delhi may , teen paapioon ko jail hogi jald"
0,"hindu , buddist , jain , christian , parsi , sikh ...... muslim kha he"
0,"hindu , musalman , seekh , esaai hm sab bhai bhai 👍 👍 aur hmsab"
0,"hindu , muslim , sikh , isayi sabh bhai bhai"
0,"hindu , muslim , sikh and christian bhai bhai hy bjp and rss desh ka"
0,"hindu , muslim sikh , isai sab aapas mai bhai bhai"
0,"hindu , sikh , christian , budh , jain aur parshi aur sab chahiye lekin"
0,"hindu , sikha , jain , bodda , parsi , issayi sab he aapus me"
0,"hindu muslim sikh issae as pass me in hai bhai bhai ,"
0,"hindustan ek gadi ki trhan hai or hindu , muslim , sikh , or christian"
0,"i am a muslim and i feel unsafe now , i never disliked hindu but"
0,"i reject caa ..... pahle hme safety chahie , job chahie , economy sahi kro"
0,"i reject cab & nrc , nrp ... 👎"
0,"i strongly oppose caa , nrc , npr"
0,"i'm strongly appose cab , caa , nrc"
0,"i'm with you shaahinbah . no nrc , no caa , no cab , no"
0,"if all these guys are extrmist what rss bjp is terrorist ,??"
0,"if it was already there , why implement new npr or caa now"
0,"if it's purely on the basis of minority persecution , why not include sri lanka"
0,"if you say caa is unconstitutional .. bjp : we will change indian constitution ,"
0,"india strongly opposes nrc , caa and bjp ."
0,"insaan ko insaan banna chahiye phle , hindu muslim bad me krey"
0,"insha allah hum jitenge . strongly boycott npr , caa . and nrc , jai"
0,"it's purely politics , no doubt bjp and rss plan behind this😂😂😂"
0,"jai bharat , hindu , muslim sikh and christian bhai bhai hy"
0,"kam dhanda chod k sirf documents k peeche ghumte firrenge .. thik hai na ,,,"
0,"keep going .. asad love you .. 🥰 ,,.. godi media ye afwah nhi h"
0,"kuch b ho no caa , nrc , npr"
0,"ma sha allah ,,, hum indian hn ,,, casa aur nrc k khilaaf hn"
0,"modi , shah , kapil mishra ko chiurahe par fansi deni chahiye ."
0,"modi neta no . 1 nehi , bakta no . 1 or jhuta no .1"
0,"modi se darr nhi lgta "" modi to aaj h kl nhi "" kaash aissa"
0,"modiji ke desh main in batow ki koi ahamiyat nahi . all rights ban ,"
0,"mr , pm were is 15 lakh . why need caa . . you have"
0,"muslims ko kyun bhadkaya jaa rha he bhai .... lgta he prbm caa , nrc"
0,"my name is indulekha , identify me by my clothes-hindu girl wearing hijab ."
0,"my question is simpleif article14 gives equality to all without cing religion , caste ,"
0,"na ham hindu banunga na musalman banunga , insan ki awolad insan banunga"
0,"nagrikta de ne ki bat nahi he , bat bil ke bhed bhav ki he"
0,"no , caa , no , nrc , no , npr , rijekat , jai"
0,"no , nrc , no , caa ,"
0,"no c c a , no n r p , no nc r jai hind"
0,"no caa , no caa , no caa , no caa , no caa ,"
0,"no caa , no nrc , no npr .... only ambedkar samvidhan"
0,"no caa , no nrc . never ever ."
0,"no caa , no nrc . no no no , never , ever ."
0,"no caa nrc , go back caa nrc from india , go- back go -back"
0,"no cab in north east bjp , we protest cab .."
0,"no cca , nrc , nrp"
0,"no hindu muslim please , ye matter hum sab indians ka bahi"
0,"no npr , no nrc , no cab , no caa . boycott"
0,"no nrc , no caa , no npr .. bjp hatao desh bachao , sambidhan"
0,"no nrc no caa no npr ,,,,, from patna bihar"
0,"nrc , caa ko reject karo ."
0,"nrc , npr , caa garibo ke khilaf hai"
0,"nrc lane ke liye janta ko murkh bana rahi hai sarkar koi nrc , npr"
0,"nrc npr caa no need in bharath , first of all our govt elected by"
0,"nrp , nrc , caa , murdabaad-"
0,"one of the placard said "" main madarchod hu jo bjp ka button dabaya """
0,"owaisi sahab i am proud of you , great respect sir ."
0,"owaisi sir you nailed 👌 , mai modi se nhi darta , sirf allah se"
0,"pagal hai re tu . no nrc , no npr"
0,"pahle caa reject kro fir log npr kalia ready honge , kyn ki jhoot ka"
0,"pakistan was formed in the name of religion , but india wasn't that's why after"
0,"pehle ya baadme janta nrc ka ( n ) lagu hone nahi degi ,,, hum"
0,"prob nrc se hai , sirf cab se ni"
0,"reject caa , reject nrc & reject npr . save india ."
