raw_comment,tokenized_comment,label
 sarkar apki aankhon me dhool jhauk sakti he meri aankhon me nahi  best,sarkar apki aankhon me dhool jhauk sakti he meri aankhon me nahi best,0
"#modi ko gali do ... modi ko gali do . modi ko gali do ...,",modi ko gali do modi ko gali do modi ko gali do,0
"25 ppl died in this protest , yogi is responsible for it",25 ppl die in this protest yogi be responsible for it,0
"@a . k arya bjp mai kahi saare mla par rape charges h , agar",k arya bjp mai kahi saare mla par rape charge h agar,0
"@debadatta giri i watch mostly ndtv , and assamese news .. bcoz others are bought",giri i watch mostly ndtv and assamese news bcoz others be buy,0
"@r am idiots voted modi ... "" the chai wala "" who has only knowledge",be idiot vote modi the chai wala who have only knowledge,0
"aabe toa tu bolna pm ko bandh kare yeh saab , caa vapis lele",aabe toa tu bolna pm ko bandh kare yeh saab caa vapis lele,0
"aap se koi puchhe aap aapke pitaji ki औलाद हो sabit karo , aap ka",aap se koi puchhe aap aapke pitaji ki औलाद हो sabit karo aap ka,0
"aap us gunde ko yogi maat bolo , ye apman hai yougion ke .. ye",aap u gunde ko yogi maat bolo ye apman hai yougion ke ye,0
"abp , zee tv ajj tak godi media always trying to save bjp",abp zee tv ajj tak godi medium always try to save bjp,0
"afghanistan kb alag hua h desh india s , 14 ,, 21 ,, 25 sala",afghanistan kb alag hua h desh india s 14 21 25 sala,0
"after 10 days of internet shut down in assam , every indian should know that",after 10 day of internet shut down in assam every indian should know that,0
"after seeing all why bloody amit shah modi are silent , if nrc is in",after see all why bloody amit shah modi be silent if nrc be in,0
"agar government kuch karna chaahti h , sabko bahot problem ho raha h , pakistan",agar government kuch karna chaahti h sabko bahot problem ho raha h pakistan,0
"aise hi jute modi , shah , yogi ke muh pe pade to maza aa",aise hi jute modi shah yogi ke muh pe pade to maza aa,0
"allah nisbo naboot karde bjp ki party ko , first modi or amit shah ko",allah nisbo naboot karde bjp ki party ko first modi or amit shah ko,0
"am muslim so am against caa and nrc , that's why he is here .",be muslim so be against caa and nrc that be why he be here,0
"apnake to dekho , kahaani bahut door tak jayegi , modi ki satta dagmagayegi !!",apnake to dekho kahaani bahut door tak jayegi modi ki satta dagmagayegi,0
"aur jo 30 log beghuna the jara unke bare me bhi sunao godi media ,",aur jo 30 log beghuna the jara unke bare me bhi sunao godi medium,0
"bakwas aap ne kisko vote kia tha sabko pata he , i support caa and",bakwas aap ne kisko vote kia tha sabko pata he i support caa and,0
"bhai ek bar caa+nrc , ek sath krk dekho .... keval foreigners ke liye hai",bhai ek bar caa nrc ek sath krk dekho keval foreigner ke liye hai,0
"bhai muslim ko target kiya ja raha hai , 15 lakh muslim ka nam nahi",bhai muslim ko target kiya ja raha hai 15 lakh muslim ka nam nahi,0
"big point is it is against constitution , and it values , so automatically it",big point be it be against constitution and it value so automatically it,0
"bjp , agp , congress , aiudfot vot bag bag hoi akkow abar bjp sarkar",bjp agp congress aiudfot vot bag bag hoi akkow abar bjp sarkar,0
"bjp , rss hatao desh bachao . sanvidhaan bachao desh bachao .",bjp r hatao desh bachao sanvidhaan bachao desh bachao,0
"bjp go back , aasu zindabad .",bjp go back aasu zindabad,0
"bjp har cheez m hadbadi m hadbadi kar deti h . noteban , gst ,",bjp har cheez m hadbadi m hadbadi kar deti h noteban gst,0
"bjp is super minded , agar ambedkar hote to wo bhi har man lete ,",bjp be super mind agar ambedkar hote to wo bhi har man lete,0
"bjp ko vote dene walo , kuch too shrm karo saalo ...",bjp ko vote dene walo kuch too shrm karo saalo,0
"bol tha na desh divide hoga ... ..., after bjp in power 😆😆 , ye",bol tha na desh divide hoga after bjp in power ye,0
"boycott = all product ambani , adani , reliance , jio , patanjali , evm",boycott all product ambani adani reliance jio patanjali evm,0
"boycott cab bill , nrc , kala kanoon",boycott cab bill nrc kala kanoon,0
"caa , npr , ncir sab golmal hai jalebi hai",caa npr ncir sab golmal hai jalebi hai,0
"caa , npr , ncr and bjp हमें नहीं चाहिए।",caa npr ncr and bjp हमें नहीं चाहिए।,0
"caa supporter is very biased , he is modi bhakt",caa supporter be very biased he be modi bhakt,0
"corona virus ka to ilaj hai magar nrc , caa , npr ka koi ilaj",corona virus ka to ilaj hai magar nrc caa npr ka koi ilaj,0
"crap , even if after nrc people are excluded , caa wont bring back communities",crap even if after nrc people be exclude caa wont bring back community,0
"desh sanvidhan se chale ga na ki tadipaar amit shah or modi se jay ,",desh sanvidhan se chale ga na ki tadipaar amit shah or modi se jay,0
"dharm je aadhar par caa laya gya hai ye kiyo nahi batata , caa bhartiye",dharm je aadhar par caa laya gya hai ye kiyo nahi batata caa bhartiye,0
"don't worry brother 2019 will not be for bjp a , it will be at",do not worry brother 2019 will not be for bjp a it will be at,0
"even if ur from pakistan , but please pray for us we can't stand our",even if ur from pakistan but please pray for u we can not stand our,0
"every indian against nrc , npr , caa",every indian against nrc npr caa,0
"first bjp blind bhakts doesnt understand caa nrc ... they think adhar card , voter",first bjp blind bhakts doesnt understand caa nrc they think adhar card voter,0
"for bjp education hindu and muslim , for bjp job mla and mp buying ,",for bjp education hindu and muslim for bjp job mla and mp buying,0
"galat bat hai didi hindu , muslim bhai bhai .",galat bat hai didi hindu muslim bhai bhai,0
"godi media , godi mediabjp media , bjp media",godi medium godi mediabjp medium bjp medium,0
"godi media , mam rubika , u don't want to understand ,",godi medium mam rubika u do not want to understand,0
