videoId,title,channelId,channelName,date
3bRWWH-FfcU,What is Assam NRC and what is the controversy around it?,UCJEDFSxHHOW1PpBccdSxOTA,IndianExpressOnline,2018-08-03T05:00:00Z
GaolQmct7DA,Assam NRC: Am I an Indian?,UCSaf-7p3J_N-02p7jHzm5tA,The Quint,2018-08-28T03:41:59Z
0K2EWoBfZac,40 lakh fail to make it to Assam&#39;s NRC final draft list,UCIvaYmXn910QMdemBG3v1pQ,Zee News,2018-07-30T08:39:04Z
Udl7GxzVVZk,In Depth | Assam NRC List:  How Fate Of 19 Lakh People Hangs In Balance?,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2019-09-03T16:23:32Z
-Fvi9eTnKww,"Exclusive | No protest against NRC, fight against Covid is priority: Assam CM Himanta Biswa",UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2021-05-15T09:52:12Z
EnuV7S96Pe0,Has NRC exercise started in Assam?,UCunauRvuGMTUWkzIp20Goeg,BOOM,2020-01-29T15:00:04Z
23uRk6qRcqA,Amit Shah NRC Assam Powerful Speech Muslims |Rajya Sabha,UCflcTDN0OO8EktqDKysjSHw,News Hour India,2018-07-31T13:39:38Z
WZkl4Iazpxs,NRC Assam: What happens to those who are not in the NRC?,UCSaf-7p3J_N-02p7jHzm5tA,The Quint,2019-08-14T11:31:09Z
0XK6luFmvH0,Assam NRC: People queue to check they are on list - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2019-09-01T09:52:06Z
GKyV3HwvZ9c,NRC Assam: Why No One Declared Citizen Yet? | NRC असम: तीन करोढ़ को नागरिकता कार्ड अभी तक नहीं,UC3-Rzw-NBZXPYW4UiMoAZDQ,Faizan Mustafa's Legal Awareness Web series: LAW's,2020-09-03T11:06:53Z
9Z_cMkckl_Q,What is NRC | NRC Assam | बांग्लादेशी घुसपैठियों की शामत है NRC | National Register of Citizens,UCqk9QcJCfxpgpAiwOs_gdXw,The Hindu Historian,2019-09-01T03:20:54Z
bno_clu45bU,NRC Assam: Give Citizenship to those Included in it | असम की NRC को लागू करे,UC3-Rzw-NBZXPYW4UiMoAZDQ,Faizan Mustafa's Legal Awareness Web series: LAW's,2021-09-21T16:36:33Z
