Username,Comment,Likes,Video ID
GodBAINS Yt . 6.1M views,Kisaan majdoor ekta zindabad,0,qZoK_fF4SOg
Education JSA,"Rajewal ji hit the nail on the head when he said the andolan is corporate versus people.
Its implication is that the real fight is with the CRONY capitalists.
Another implication is that it is no longer farmers fight but it has become fight of the people.",0,qZoK_fF4SOg
ram kumar tomar,Thanks BBC,0,qZoK_fF4SOg
ram kumar tomar,I support Farmers.,0,qZoK_fF4SOg
Abde God,अफसाना का सामान अच्छा है किसान जिंदबाद,0,qZoK_fF4SOg
Abde God,यह देश किसानों का है पूँजी पतियों का नहीं है,0,qZoK_fF4SOg
ram kumar tomar,Kisan Majdoor ekta Zindabad,1,qZoK_fF4SOg
ram kumar tomar,Salute Rajewal ji .,1,qZoK_fF4SOg
Abde God,किसान मोदी की हेकडी तोड़ देंगें,0,qZoK_fF4SOg
Joginder Saroha,Yeh sarkar opposition ki aad pekar apni kali kartooton search jai sakti hai,0,qZoK_fF4SOg
ram kumar tomar,Jai kisan,0,qZoK_fF4SOg
Rajendra Kaur,धन्यवाद राजेवाल जी हम आपके साथ है मोदी की जड़ उखाड़ने  तक और हम जीतेगे वाहेगरु आपको सेहत्मंद रखे,0,qZoK_fF4SOg
Sophisticated Desi!!!,"Andolan fateh hona chahida... But deny na karo ji k Corona haiga othe v...
Denial ne hi 26th January aali satt mari si...",0,qZoK_fF4SOg
Faruk Qureshi,Kisan ekta jindabad,0,qZoK_fF4SOg
Rajeev Setia,Brazenly lying..26 Jan violance injuries to 400 plus police personnel and property loss threats to Life ignore deliberately,0,qZoK_fF4SOg
Dashrath jat Dashrath,किसान आन्दोलन जिन्दा है था और रहेगा   मै भी किसान के साथ था हूँ   रहूंगा जय किसान आई सैल्यूट माई फार्मर एन्ड फार्मर लीडर  असवेदनशील . सरकार मुर्दाबाद,0,qZoK_fF4SOg
Aryan blood,kisano k lea hum yaha usa Canada uk Australia newzeland France German Italy se vaccine kharid kar bhejege 10 laakh se jada vaccines bheji jayege,0,qZoK_fF4SOg
guru ji,"ये किसान नहीं है, आढती है, किसानों का शोषण-दमन करने वाला, मैं आढतियों द्वारा किसानों को गुलाम बनाये रखने की मानसिकता का विरोध करता हूं।",0,qZoK_fF4SOg
Mahesh Chand जय राम जी की बीबीसी हिंदी,सिर्फ बक़वास,0,qZoK_fF4SOg
Jethu Singh,"किसी पार्टी के नेता अगर गांव गली में जाने से डर जाएं तो समझ जाना चाहिए,कि बहुत कुछ होने वाला है।",3,qZoK_fF4SOg
Ved Saini,"Are the corporate are so bad.
In whole world how much corporate are responsible for the employment, research, betterment and improvement in all the spheres of life/humanity.
Present world cannot and will not survive without Corporates  So is the case with Farmers.
World cannot survive without farmers.
Both have to exist and work for the betterment of whole humanity.",0,qZoK_fF4SOg
Jethu Singh,किसान में वैसी ही रोग प्रतिरोधक क्षमता अन्यों से ज्यादा होती है।,2,qZoK_fF4SOg
sanjay yadav,🙏🙏🙏🙏🌾🌾🌾🚜🚜🚜🚜🆗️,0,qZoK_fF4SOg
akhil das,"With due respect to the Sardarji I beg to differ and express my openion  that this agitation is limited to Punjab, Hariana and partly in  UP only . It has no link with the problems which are faced by the common  farmers of rest of India. Because of this reason farmers from rest of India do not support and not taking part with good spirit.  The agitating leaders failed to make a mass movement by propagating and  making aware of their demands to the farmers of other states.
Earlier Congress Govt. planned to introduce this law but had no courage. This is a so called  rich farmer's agitation. Mr.Tikait is very very rich guy, does many many expensive business in his own name or in the name of others. Eminent journalist Mr.Sekhar Gupta (a very strong critic of Mr.Modi) also supported implementing the new law.
During West Bengal election campaign Mr.Tikait and his team visited Nandigram in support of TMC  but largely remained unnoticed.  
Some of their demands may be genuine. For that they should negotiate with the Government in practical and logical manner instead of remaining adamant. The hooliganism, which was shown in Delhi by the agitators on last 26th January, sent a very wrong message to common people  of India damaging the spirit of the agitation.",1,qZoK_fF4SOg
Satpal Singh,Kisan Majdoor Ekta Zindabad,0,qZoK_fF4SOg
SUBODH KUMAR,Kisan ke sath bihar bale bhi sath hai,0,qZoK_fF4SOg
Satpal Singh,Kisan Majdoor Ekta Zindabad,0,qZoK_fF4SOg
Sukh Sandhu,Kisan majdoor ekta jindabad,0,qZoK_fF4SOg
Prabhpreet Singh,BBC ✌️,0,qZoK_fF4SOg
Jaskaran Singh Sohi,Jai kisaan jai jawan,0,qZoK_fF4SOg
Jaskaran Singh Sohi,No farmer no food,1,qZoK_fF4SOg
manoj hooda,Kesan majdear akta jindabad,1,qZoK_fF4SOg
jitendrakumar yadav,Thank you sir,1,qZoK_fF4SOg
Ramashish Gupta,"In the fight between people versus carporate,, people will win.Kishan will must win.",5,qZoK_fF4SOg
Jeet Dhull,अंकल जी सलयूट आप जैसे महान आदमियों की वजह से ही भारत महान है वरना सारे नेता तो बेईमान  है,5,qZoK_fF4SOg
Gurwinder Singh,No farmer No food,0,qZoK_fF4SOg
Chandra Mohan Yadav,क्या पॉलिटिकल होना गुनाह है।,0,qZoK_fF4SOg
yashvir ahlawat,Good jai jawan jai kisan,0,qZoK_fF4SOg
Raju Menon,Andolan is failed andolan.  Yeh chutiya kuch bhi bol raha hai?,0,qZoK_fF4SOg
