Username,Comment,Likes,Video ID
Cha Ndu,Police lingeshwara Mero Anantha Duniya Se gentle Akad 2 part 2,0,UVVsxyWGkmY
K Ananthamma,F,0,UVVsxyWGkmY
Vijay Jeedigalla,మళ్ళీ అన్నలు రావాలి అప్పుడే అవినీతి ప్రజా ప్రతినిదులకు భయం ఉంటది...,1,UVVsxyWGkmY
sravan thumula,Donga kcr,0,UVVsxyWGkmY
sravan thumula,Papaaam,0,UVVsxyWGkmY
ramu naga,"Podu bhumi kadu avi chetlu nariki paadu chesina adavi bhumi, save forest",1,UVVsxyWGkmY
Ruthwik Reddy,"Ah erra jenda tesi guddala petuko. 
Communist Terrorists. 
Edo oka propaganda.",0,UVVsxyWGkmY
reality,Himha start,0,UVVsxyWGkmY
Vijay Yadav90,Modi ji Zindabad Modi ji Zindabad Modi ji Zindabad Modi ji Zindabad Modi ji Zindabad Modi ji Zindabad,0,rwq4W-ZozWw
Anita Gusain,Ye tuo aaya hi tha apna uolo shidha karney ke liye Kishan aandolan tuo bhana hai 😁😁😁😁😁,0,rwq4W-ZozWw
Israil Ansari,Chitra or khush Karen ki jarurat hai bjp walon ko/ Bessemer ho gai hai tu,0,rwq4W-ZozWw
Pradeep Yadav,Top tiket sahb,0,rwq4W-ZozWw
Gagandeep Singh,Dislike would be more than like .🦶🦶🦶 On this channel,0,rwq4W-ZozWw
Rishika vision,Dalal media sharm karo .pet me roti nahi jaye gi to sab bakavas bhul jao hi.,0,rwq4W-ZozWw
Vinod Kashyap,Modi sakar jindabad tum sab haroge,1,rwq4W-ZozWw
Rifaqat Ali,GOVERNMENT  TAKE  UNOFFICIAL STAND AGAINST  THE FARMERS PROTEST  PM SAHAB  REAPPEAL OF  THREE  ORDINANCE  RIFAQAT ALI KHAN DOTAI DISTRICT HAPUR UP,1,rwq4W-ZozWw
