videoId,title,channelId,channelName,date
UVVsxyWGkmY,Farmers Protest Against Forest Officers Over Podu Lands | V6 News,UCDCMjD1XIAsCZsYHNMGVcog,V6 News Telugu,2021-07-13T09:44:02Z
rwq4W-ZozWw,"Farmers Protest : आने वाले हैं चुनाव, क्या है किसान नेताओं का दांव | देखें Dangal | 12 July 2021",UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,2021-07-12T12:52:10Z
FCIIpOA6Bic,"Farmer Protest : Singhu Border पर फिर जुटे किसान, Rakesh Tikait सरकार के लिए क्या बोले? (BBC Hindi)",UCN7B-QD0Qgn2boVH5Q0pOWg,BBC News Hindi,2021-07-10T11:15:01Z
Y_D15QC8WNA,"Rakesh Tikait on Modi govt&#39;s new offer, &#39;Farmers&#39; protest will continue&#39;",UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2021-07-09T11:33:04Z
DeQHAE1rPIk,Farmers Protest In Front Of Vishwanath House | NTV,UCumtYpCY26F6Jr3satUgMvA,NTV Telugu,2021-07-12T16:44:58Z
aZmwz-YBL1k,"Two Farmer Unions Withdraw Protest, Condemn Republic Day Violence In Delhi",UCwqusr8YDwM-3mEYTDeJHzw,Republic World,2021-01-27T13:08:54Z
pCMYO-j6QAU,किसान आंदोलन में नया मोड़/NEW TRUN ON FARMER PROTEST,UC7IdArS3MibBKFsqckq8GhQ,National Dastak,2021-07-13T04:30:16Z
iHpZV7ro7lU,"India&#39;s huge farmer protests, explained",UCLXo7UDZvByw2ixzpQCufnA,Vox,2020-12-30T13:00:30Z
R1di7PMbaHA,"Farmer Protest : Singhu Border ‘ਤੇ ਪੁੱਜੇ ਹੋਰ ਕਿਸਾਨ, Rakesh Tikait ਕੀ ਬੋਲੇ?| 𝐁𝐁𝐂 𝐍𝐄𝐖𝐒 𝐏𝐔𝐍𝐉𝐀𝐁𝐈",UCN5piaaZEZBfvFJLd_kBHnA,BBC News Punjabi,2021-07-10T12:00:05Z
i1DCZ2k4jjM,Farmers Protest: सरकार की अपील पर Rakesh Tikait बोले-&#39;मांगे पूरी न होने तक जारी रहेगा आंदोलन&#39;,UCmphdqZNmqL72WJ2uyiNw5w,ABP NEWS HINDI,2021-07-09T11:27:01Z
Yj8RN9rp8-4,"Farmers&#39; protest: Punjab farm leaders should contest polls, opines Chaduni; Darshan Pal says no",UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,2021-07-08T10:34:48Z
bw48GaZDglo,"Farmers Protest पर Nawazuddin Siddiqui की &#39;सीधी बात&#39;, कहा- जायज होती हैं मांगें | Prabhu Chawla",UClmlqOOktUTpfW0EkTiqSjQ,Aaj Tak HD,2021-07-10T17:20:20Z
GFPlhK_Y6sY,Farmers Protest: Problems and solutions | Why are farmers protesting? | Abhi and Niyu,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,2020-12-05T16:45:09Z
KZTXi8QyPTY,Fire Breaks Out At Farmer’s Protest Site At Singhu Border | Reason Of Fire Unknown | NewsX,UCytSP0M0Jdnw6qIy3Y-nTig,NewsX,2021-07-11T04:02:09Z
eVa-fzdqC6g,Farmers Protest Explained | Faye D&#39;Souza,UCzI8K9xO_5E-4iCP7Km6cRQ,Faye D'Souza,2020-12-04T16:15:08Z
Ho0myzQbsQ4,A Day at the Farmers&#39; Protest ft. Samdish,UC6JEz6BKg7hX7idKecN7QYA,ScoopWhoop Unscripted,2020-12-04T11:30:12Z
zKrAdFo_Ri4,यमुनानगर हरियाणा में पुलिस और किसानों के बीच झड़प | Yamunanagar | Farmer Protest,UCOutOIcn_oho8pyVN3Ng-Pg,TV9 Bharatvarsh,2021-07-10T07:33:22Z
LyvKETRiKJk,Farmer netas vow to intesify stir; thousands of kisans to join protest,UC6RJ7-PaXg6TIH2BzZfTV7w,TIMES NOW,2021-06-10T12:21:52Z
1xrmIvhiOVk,"Covid is Modi govt &#39;conspiracy&#39; to end protests, farmers at Singhu, Ghazipur say",UCuyRsHZILrU7ZDIAbGASHdA,ThePrint,2021-04-24T09:29:01Z
-kmDsLp0xnw,Farmers Protest in Delhi | Explained by Dhruv Rathee,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,2020-12-01T11:35:27Z
xMcBDrEfK1c,The Indian Farmer Protest Shaking the World,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,2020-12-21T19:00:10Z
ozfXDXWPXn8,"100 days &amp; counting, farmers protest is not winding down | Singhu Border Protest",UCJEDFSxHHOW1PpBccdSxOTA,IndianExpressOnline,2021-03-06T08:16:55Z
oqXh3t-athI,Rihanna के बाद कौन-कौन से विदेशी सेलेब्रिटीज़ farmers protest को सपोर्ट करने आगे आए? | Mia Khalifa,UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2021-02-03T10:30:03Z
Ukj8EtGUOGk,Farm Bills : Farmers Protest in Hindi | Farmers Protest Explained with Farmers Bill 2020 for UPSC,UC_338PMI9UqDGbuz45SEWEA,Bookstawa,2020-12-18T14:12:59Z
k7so5TwIMyM,"Farmer protest turns violent in India | Farmers break barricades, attack cops on duty |Tractor Rally",UC_gUM8rL-Lrg6O3adPW9K1g,WION,2021-01-26T13:41:41Z
yLSBEshqNtY,Farmers Protest and solutions for all farmers | FARM BILLS | Abhi and Niyu,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,2020-12-12T16:15:10Z
2ZuXVUxdL9s,"7 Months of Farmers&#39; protest: Visuals of tractor March from Delhi, Chandigarh, Lucknow &amp; Bhopal",UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2021-06-26T08:36:23Z
BgRaEtKqjJw,New Farm law पर  State Minister Mool Chand Sharma की बैठक। Haryana में Farmers Protest।Yamunanagar,UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2021-07-10T10:45:01Z
8nT2i-SgeFI,Farmers Protest | Greta Thunberg&#39;s Deleted Toolkit of Hate | Conspiracy against India |Abhi and Niyu,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,2021-02-06T16:30:12Z
APBxz85rSrs,"Delhi: Ghazipur Border पर Farmers Protest के दौरान हंगामा, BJP Leader की गाड़ी पर किया गया हमला",UCIvaYmXn910QMdemBG3v1pQ,Zee News,2021-06-30T09:01:29Z
p_JasSmSXYE,ਪੰਜਾਬੀ ਖ਼ਬਰਾਂ | Punjabi News | Punjabi Prime Time | FARMER PROTEST | Judge Singh Chahal | 12 July 21,UCI1i5R552GgNLZNGV_luApg,The Punjab TV,2021-07-12T15:00:18Z
aC2brl3qDWw,Farmers&#39; Republic Day Tractor Rally Live News |Farmers&#39; Tractor Parade| Farmers Protest| India Today,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2021-01-26T06:49:42Z
_hKwY9Sxo_s,Clashes Erupt at India Farmer Protest,UCVSNOxehfALut52NbkfRBaA,VOA News,2021-01-29T17:23:51Z
iAjATdoi5PI,Farmers Continue To Protest At Singhu Border Amid COVID-19 Surge In India,UCwqusr8YDwM-3mEYTDeJHzw,Republic World,2021-04-20T13:18:25Z
5AC00KN-1cE,Farmers Protest: Punjab Farmers Head To Delhi Border,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-05-06T10:51:47Z
Y2H3630lWHo,"Farmers Protest News: Stones Thrown, Tents Vandalised By People At Farmers&#39; Protest Site",UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-01-29T08:47:01Z
3nskU3BoGtc,Farmers protest: Indian farmers clash with police - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2020-11-27T13:26:00Z
KlVu-2HQLqU,"Farmers Protest: Farmer Leader Rakesh Tikait, Others Step Up Protest Against Arrests",UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-06-06T11:37:23Z
q7BK1uua3Rg,"Farmer Protest at Lal Quila: किसानों की ट्रैक्टर परेड लाल किला तक पहुंची, कैसे हैं हालात (BBC Hindi)",UCN7B-QD0Qgn2boVH5Q0pOWg,BBC News Hindi,2021-01-26T09:33:23Z
o_nBovjt2fo,Onwards to New Delhi – a farmer&#39;s protest | DW Documentary,UCW39zufHfsuGgpLviKh297Q,DW Documentary,2021-01-26T19:00:17Z
9xWezzqIFH4,Farmers Protest in Delhi Explained | Tamil | Madan Gowri | MG,UCY6KjrDBN_tIRFT_QNqQbRQ,Madan Gowri,2020-12-04T15:48:46Z
AW5EQc3Y5F0,"3,000 Riot Cops Called Into Haryana&#39;s Hisar To Block Farmers&#39; Protest",UCZFMm1mMw0F81Z37aaEzTUA,NDTV,2021-05-24T06:47:49Z
7Sdl34audV0,50th Day of the Farmers&#39; Protest ft. Samdish,UC6JEz6BKg7hX7idKecN7QYA,ScoopWhoop Unscripted,2021-01-21T11:30:45Z
UPX67JklxZY,Farmer Protest- 7 महीने की किसान क्रांति...शहर-शहर आक्रोश की झांकी,UCuzS3rPQAYqHcLWqOFuY0pw,News24,2021-06-26T15:32:16Z
pyC3syMckqQ,Farmer Protest: Rakesh Tikait बोले- 5 September को पंचायत कर बनाएंगे आगे की रणनीति | वनइंडिया हिंदी,UCOjgc1p2hJ4GZi6pQQoXWYQ,Oneindia Hindi | वनइंडिया हिन्दी,2021-07-12T13:30:16Z
IIgmt0cCEf4,Drone footage shows scale of massive farmer protests in India,UChLtXXpo4Ge1ReTEboVvTDg,Global News,2021-02-21T16:22:16Z
MMlMDnsIcXM,Farmer Protest: Rakesh Tikait बोले- 22 July से Parliament के पास विरोध प्रदर्शन | वनइंडिया हिंदी,UCOjgc1p2hJ4GZi6pQQoXWYQ,Oneindia Hindi | वनइंडिया हिन्दी,2021-07-13T16:00:10Z
MR4eRqcX4mE,Farmers Protest Update | Dhruv Rathee,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,2020-12-11T13:16:12Z
gScPFq6IZuE,Why are farmers from Punjab and Haryana leading the protests?,UCz4a7agVFr1TxU-mpAP8hkw,Soch by Mohak Mangal,2020-11-29T15:32:58Z
CtWUptbXroo,India farmers protest turn violent - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2021-01-26T13:48:10Z
PW77Xu-Q90M,"आगे चुनाव है, किसान आंदोलन का दांव है? Dangal With Chitra Tripathi | Debate on AajTak",UClmlqOOktUTpfW0EkTiqSjQ,Aaj Tak HD,2021-07-12T13:24:11Z
